Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","System Agent 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","电压偏移 (avg) [V]","IA 电压偏移 [V]","GT (Slice) 电压偏移 [V]","CLR (CBo/LLC/Ring) 电压偏移 [V]","GT (Unslice) 电压偏移 [V]","Uncore/SA 电压偏移 [V]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","DRAM 总功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C3 驻留率 (avg) [%]","Core 0 C3 驻留率 [%]","Core 1 C3 驻留率 [%]","Core 2 C3 驻留率 [%]","Core 3 C3 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","IA: 温度自适应睿频 (TVB) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU GT 使用率 [%]","GPU 媒体引擎使用率 [%]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","预计剩余时间 [分钟]","iGPU VID [V]","Package C10 驻留率 [%]","Package C9 驻留率 [%]",
17.9.2026,15:52:4.506,7314,9962,42.3,7598,8654,46.7,2.1,1024,22,0.726,0.731,0.728,0.722,0.722,897.6,897.6,897.6,897.6,897.6,99.7,797.8,997.3,88.8,70.0,102.6,156.2,88.4,99.5,57.6,53.2,82.8,88.8,14.0,14.8,8.6,15.6,9.4,25.0,2.3,17.2,18.8,25.0,14.0,100.0,3.4,2.5,3.6,6.1,3.5,4.1,2.3,1.9,3.1,3.4,9.0,9.0,9.0,9.0,9.0,8.0,51,51,52,50,50,49,49,48,50,50,52,52,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,52,52,50,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.450,0.718,0.047,0.690,0.955,0.424,0.274,45.0,45.0,78.0,78.0,0,9.0,4.5,0.0,0.0,53.8,8.6,7.3,7.8,13.7,8.7,10.3,6.1,5.6,8.9,0.1,0.0,0.0,0.2,0.2,83.5,83.8,81.5,84.3,84.4,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56.0,36,否,否,49,49,53,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.4,0.4,0.000,0.006,81531,17731,52,0.047,349.1,1329.0,3.8,0.0,1.1,6.6,0.0,0.0,0.0,0.0,0.0,210,否,否,否,否,否,否,15.801,29.518,75.3,-18.377,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,96.4,0.000,0.0,0.0,
17.9.2026,15:52:6.506,7319,9957,42.3,7601,8651,46.7,2.1,1024,22,0.724,0.728,0.721,0.723,0.723,897.6,897.6,897.6,897.6,897.6,99.7,797.8,997.3,213.6,188.3,171.6,299.2,218.1,228.5,176.2,216.1,211.1,213.6,17.2,11.6,5.4,21.7,17.8,29.5,10.1,20.9,20.2,29.5,17.2,100.0,8.7,7.6,6.8,12.2,9.0,9.5,7.3,8.8,8.6,8.7,9.0,9.0,9.0,9.0,9.0,8.0,50,51,51,50,50,50,49,49,50,50,51,51,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,51,51,50,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.926,1.909,0.070,0.755,1.427,0.584,0.380,45.0,45.0,78.0,78.0,0,6.7,9.6,0.0,0.5,37.0,13.4,11.8,9.5,18.5,15.6,15.0,10.5,12.0,14.5,0.1,0.1,0.4,0.0,0.1,75.3,79.1,71.2,76.8,74.1,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,1.4,1.5,0.042,0.842,81531,17733,50,0.070,349.1,1329.0,3.0,0.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,206,否,否,否,否,否,否,15.688,29.518,75.3,-17.966,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,98.6,0.000,0.0,0.0,
17.9.2026,15:52:8.506,7319,9957,42.3,7601,8651,46.7,2.1,1024,22,0.724,0.722,0.726,0.727,0.723,848.1,798.2,798.2,898.0,898.0,99.8,898.0,997.8,102.7,80.4,106.3,188.6,98.2,113.0,72.2,73.3,89.6,102.7,16.4,8.5,6.2,32.6,15.5,26.4,8.5,14.0,19.4,32.6,16.4,100.0,4.0,2.9,3.8,7.6,3.9,4.5,2.9,2.8,3.4,4.0,8.5,8.0,8.0,9.0,9.0,9.0,51,51,52,50,50,49,49,48,50,50,51,52,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,52,51,50,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.598,0.799,0.048,0.717,1.006,0.484,0.285,45.0,45.0,78.0,78.0,0,7.4,4.1,0.0,0.2,47.9,10.2,8.5,8.0,18.3,9.7,11.5,7.9,7.9,9.7,0.0,0.1,0.0,0.1,0.0,80.2,82.0,75.9,80.9,82.0,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56.0,36,否,否,49,49,57,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.4,0.4,0.000,0.415,81531,17733,50,0.048,349.2,1330.0,3.0,0.0,1.0,5.9,0.0,0.0,0.0,0.0,0.0,206,否,否,否,否,否,否,15.799,29.503,75.2,-17.434,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,101.5,0.000,0.0,0.0,
17.9.2026,15:52:10.506,7319,9958,42.3,7602,8650,46.7,2.1,1024,22,0.727,0.730,0.732,0.724,0.722,897.6,897.6,897.6,897.6,897.6,99.7,797.8,997.3,103.7,90.9,98.0,165.5,97.6,146.1,79.5,70.5,81.3,103.7,15.6,15.6,6.2,23.4,12.5,29.7,3.9,14.8,18.8,29.7,15.6,100.0,4.0,3.4,3.4,6.6,4.0,6.0,3.2,2.6,3.0,4.0,9.0,9.0,9.0,9.0,9.0,8.0,51,51,52,50,50,49,49,48,50,50,52,52,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,51,51,51,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.692,0.815,0.052,0.719,1.089,0.527,0.318,45.0,45.0,78.0,78.0,0,8.1,9.5,0.0,0.0,42.2,10.3,9.6,7.3,14.7,10.5,15.5,8.7,7.3,8.8,0.1,0.0,0.1,0.3,0.1,80.0,82.0,78.3,76.9,82.8,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56.0,36,否,否,49,49,55,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.9,0.9,0.000,0.124,81531,17734,51,0.052,349.1,1329.0,3.1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,206,否,否,否,否,否,否,15.783,29.503,75.2,-16.948,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,104.4,0.000,0.0,0.0,
17.9.2026,15:52:12.515,7315,9962,42.3,7599,8653,46.7,2.1,1024,22,0.921,0.957,0.936,0.896,0.897,2741.3,2890.8,2890.8,2591.8,2591.8,99.7,2591.8,996.8,122.6,71.8,101.8,154.0,295.3,128.6,57.9,93.1,78.2,122.6,13.6,10.9,6.2,14.1,16.4,28.9,3.9,14.8,13.3,28.9,13.6,100.0,4.8,2.7,3.6,5.8,12.5,5.3,2.3,3.6,2.9,4.8,27.5,29.0,29.0,26.0,26.0,26.0,52,52,57,50,51,48,48,43,50,49,57,57,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,53,53,51,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.930,1.063,0.052,0.701,1.071,0.531,0.300,45.0,45.0,78.0,78.0,0,8.0,7.3,0.0,0.4,41.7,10.0,7.0,7.1,12.7,18.0,12.9,5.7,9.2,7.8,0.0,0.0,0.0,0.0,0.0,80.4,84.2,73.1,82.3,82.2,1329.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,55.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.8,0.8,0.000,0.547,81531,17735,51,0.052,348.9,1329.0,4.5,0.0,1.2,7.4,0.0,0.0,0.0,0.0,0.0,206,否,否,否,否,否,否,15.822,29.503,75.2,-16.401,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,107.9,0.000,0.0,0.0,
17.9.2026,15:52:14.513,7309,9967,42.3,7593,8659,46.7,2.1,1024,22,0.793,0.800,0.797,0.792,0.782,1545.5,1595.3,1595.3,1595.3,1395.9,99.7,1296.2,997.1,210.3,206.0,134.1,305.0,121.9,374.6,181.5,171.3,187.7,210.3,20.1,28.1,6.2,23.4,14.8,28.9,7.8,19.5,32.0,32.0,20.1,100.0,8.4,8.3,5.0,12.1,4.9,15.7,7.6,6.6,7.0,8.4,15.5,16.0,16.0,16.0,14.0,13.0,52,52,54,51,51,48,48,46,49,49,54,54,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,53,53,51,0.000,0.000,0.000,0.000,0.000,0.000,5.500,2.958,1.863,0.085,0.817,1.387,0.692,0.341,45.0,45.0,78.0,78.0,0,8.2,1.2,0.0,0.0,28.8,15.3,16.3,8.8,22.3,9.8,22.5,13.0,13.8,16.2,0.0,0.0,0.0,0.1,0.0,69.5,74.4,68.6,64.2,71.1,1329.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,55.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.4,0.4,0.000,0.319,81531,17735,51,0.085,349.0,1329.0,5.9,0.0,1.6,9.3,0.0,0.0,0.0,0.0,0.0,223,否,否,否,否,否,否,15.830,29.488,75.2,-16.188,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,109.3,0.000,0.0,0.0,
17.9.2026,15:52:16.513,7363,9913,42.6,7660,8592,47.1,2.1,1024,22,0.725,0.728,0.728,0.722,0.723,898.0,898.0,898.0,898.0,898.0,99.8,798.2,997.8,163.9,188.2,137.5,246.9,135.4,225.1,95.2,131.1,151.7,163.9,19.6,25.0,6.2,27.3,10.2,32.0,7.8,14.8,33.6,33.6,19.6,100.0,6.4,7.3,4.9,9.8,5.2,9.1,3.5,5.4,6.2,6.4,9.0,9.0,9.0,9.0,9.0,8.0,51,51,52,50,50,49,49,48,50,50,51,52,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,51,51,51,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.407,1.195,0.090,0.821,1.476,0.757,0.388,45.0,45.0,78.0,78.0,0,23.9,1.8,0.0,3.4,19.2,15.0,18.1,11.1,21.0,12.5,21.2,9.2,12.5,14.8,0.0,0.0,0.0,0.0,0.0,71.7,72.4,70.3,71.3,72.9,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,15.9,15.9,0.000,0.020,2731,334,0.0,1.7,1.7,0.000,0.787,81531,17737,50,0.090,349.2,1330.0,3.4,0.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,223,否,否,否,否,否,否,15.771,29.488,75.2,-15.869,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,111.5,0.000,0.0,0.0,
17.9.2026,15:52:18.506,7334,9942,42.4,7631,8621,46.9,2.1,1024,22,0.725,0.729,0.722,0.728,0.722,898.0,898.0,898.0,898.0,898.0,99.8,798.2,997.8,91.6,101.1,123.7,130.9,81.6,95.0,64.3,57.9,78.1,91.6,15.0,23.4,6.2,12.5,8.6,21.9,11.7,9.4,26.6,26.6,15.0,100.0,3.5,4.0,4.6,5.0,3.2,3.7,2.6,2.1,2.9,3.5,9.0,9.0,9.0,9.0,9.0,8.0,50,50,51,50,50,50,50,49,50,50,51,51,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,51,51,50,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.495,0.750,0.048,0.705,0.928,0.435,0.277,45.0,45.0,78.0,78.0,0,8.4,4.5,0.0,0.0,52.9,8.8,10.7,10.2,10.7,8.2,9.5,6.9,6.0,8.4,0.1,0.0,0.2,0.0,0.0,82.1,78.1,81.6,83.9,85.0,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,57.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.4,0.4,0.000,0.104,81531,17737,50,0.048,349.2,1330.0,2.8,0.0,0.9,5.6,0.0,0.0,0.0,0.0,0.0,223,否,否,否,否,否,否,15.795,29.473,75.2,-15.641,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,113.0,0.000,0.0,0.0,
17.9.2026,15:52:20.506,7334,9942,42.4,7629,8623,46.9,2.1,1024,22,0.725,0.724,0.731,0.722,0.723,897.8,897.8,897.8,897.8,897.8,99.8,798.0,997.6,90.8,99.1,92.5,158.6,74.5,110.6,58.4,56.5,76.0,90.8,16.7,27.1,6.2,16.3,8.5,26.4,8.5,8.5,31.8,31.8,16.7,100.0,3.4,3.8,3.2,6.1,2.9,4.3,2.4,2.0,2.8,3.4,9.0,9.0,9.0,9.0,9.0,8.0,50,51,51,50,50,50,49,49,50,50,51,51,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,51,50,51,0.000,0.000,0.000,0.000,0.000,0.000,2.500,1.491,0.763,0.047,0.697,0.922,0.410,0.283,45.0,45.0,78.0,78.0,0,6.5,7.0,0.0,0.0,54.3,8.5,10.2,6.5,14.1,6.6,10.7,5.9,5.7,8.0,0.1,0.0,0.2,0.2,0.0,82.7,82.0,80.1,83.4,85.1,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,55.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2731,334,0.0,0.9,1.0,0.016,0.935,81531,17739,50,0.047,349.1,1330.0,2.8,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0.0,223,否,否,否,否,否,否,15.802,29.473,75.2,-15.337,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,115.3,0.000,0.0,0.0,
17.9.2026,15:52:22.513,7332,9944,42.4,7627,8625,46.9,2.1,1024,22,0.722,0.724,0.721,0.721,0.722,897.4,897.4,897.4,897.4,897.4,99.7,797.7,997.1,91.4,91.3,92.6,145.3,71.9,105.6,74.5,75.8,74.5,91.4,16.8,26.6,7.0,13.3,11.7,23.4,11.7,8.6,32.0,32.0,16.8,100.0,3.5,3.4,3.3,5.6,2.7,4.1,3.1,2.9,2.8,3.5,9.0,9.0,9.0,9.0,9.0,8.0,50,50,51,50,50,50,50,49,50,50,51,51,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,51,51,50,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.490,0.764,0.047,0.698,0.910,0.410,0.283,45.0,45.0,78.0,78.0,0,7.9,4.9,0.0,3.2,51.9,8.7,9.2,6.9,12.6,6.9,10.0,8.0,7.8,8.0,0.0,0.0,0.0,0.0,0.0,82.5,82.8,81.5,82.1,83.7,1329.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56.0,36,否,否,49,49,54,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.002,2731,334,0.0,0.8,0.8,0.000,0.303,81531,17739,50,0.047,349.0,1329.0,2.7,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0.0,223,否,否,否,否,否,否,15.747,29.458,75.1,-15.094,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,117.1,0.000,0.0,0.0,
