Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","System Agent 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","电压偏移 (avg) [V]","IA 电压偏移 [V]","GT (Slice) 电压偏移 [V]","CLR (CBo/LLC/Ring) 电压偏移 [V]","GT (Unslice) 电压偏移 [V]","Uncore/SA 电压偏移 [V]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","DRAM 总功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C3 驻留率 (avg) [%]","Core 0 C3 驻留率 [%]","Core 1 C3 驻留率 [%]","Core 2 C3 驻留率 [%]","Core 3 C3 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","IA: 温度自适应睿频 (TVB) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU GT 使用率 [%]","GPU 媒体引擎使用率 [%]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","预计剩余时间 [分钟]","iGPU VID [V]","Package C10 驻留率 [%]","Package C9 驻留率 [%]",
17.9.2026,16:37:39.047,6954,10323,40.2,7245,9007,44.5,2.4,1024,25,0.750,0.757,0.747,0.748,0.747,1096.5,1096.5,1096.5,1096.5,1096.5,99.7,797.5,996.8,169.5,174.9,142.9,198.8,122.1,197.4,123.3,159.7,236.9,169.5,9.8,21.1,4.7,15.6,1.6,8.6,3.9,9.4,13.3,21.1,9.8,100.0,6.8,6.9,5.5,7.8,4.3,7.9,5.1,6.6,10.1,6.8,11.0,11.0,11.0,11.0,11.0,8.0,44,44,45,44,44,56,56,55,56,56,45,45,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,43,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.140,0.538,0.008,0.633,0.684,0.349,0.254,45.0,45.0,78.0,78.0,0,10.7,5.1,0.0,1.3,45.5,9.1,10.2,6.7,10.9,5.9,10.2,7.9,8.0,13.2,0.4,0.2,0.4,0.4,0.4,81.9,82.6,82.6,81.0,81.5,1329.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,50.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.0,1.2,1.2,0.002,0.583,81637,17961,44,0.028,348.9,1329.0,1.6,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0,128,否,否,否,否,否,否,14.898,21.341,54.4,-12.342,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,103.7,0.000,0.0,0.0,
17.9.2026,16:37:41.010,6954,10322,40.2,7244,9008,44.5,2.4,1024,25,0.729,0.733,0.728,0.723,0.733,897.8,897.8,897.8,897.8,897.8,99.8,798.0,997.6,116.5,117.5,102.2,251.3,69.9,190.5,79.2,77.9,43.2,116.5,12.1,33.6,3.9,24.2,3.1,15.6,5.5,7.0,3.9,33.6,12.1,100.0,4.5,4.4,3.8,10.1,2.3,7.4,3.2,2.9,1.7,4.5,9.0,9.0,9.0,9.0,9.0,8.0,44,44,45,43,43,56,56,55,57,57,44,45,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,44,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.378,1.548,0.028,0.701,1.076,0.514,0.304,45.0,45.0,78.0,78.0,0,10.7,3.9,0.0,0.3,36.1,9.5,10.8,5.9,20.3,5.0,15.9,7.2,6.7,4.0,0.0,0.0,0.0,0.0,0.0,78.3,80.1,72.5,72.8,87.7,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.0,0.8,0.8,0.000,0.410,81637,17962,44,0.040,349.1,1330.0,1.9,0.0,0.7,4.0,0.0,0.0,0.0,0.0,0.0,129,否,否,否,否,否,否,14.959,21.326,54.4,-12.510,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,102.3,0.000,0.0,0.0,
17.9.2026,16:37:43.019,6954,10322,40.2,7244,9009,44.5,2.4,1024,25,0.870,0.853,0.868,0.879,0.879,2319.3,2094.9,2394.1,2394.1,2394.1,99.8,2094.9,997.6,125.8,86.1,107.2,156.8,47.4,49.0,32.2,506.3,21.5,125.8,6.5,13.2,4.7,6.2,0.8,3.1,3.1,20.2,0.8,20.2,6.5,100.0,5.0,3.2,4.0,6.2,1.3,1.6,1.3,21.7,0.8,5.0,23.2,21.0,24.0,24.0,24.0,21.0,46,46,48,44,45,54,54,52,56,55,48,48,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49,49,44,0.000,0.000,0.000,0.000,0.000,0.000,10.500,1.955,1.019,0.040,0.735,1.121,0.605,0.312,45.0,45.0,78.0,78.0,0,15.3,1.9,0.0,1.5,41.8,6.4,6.4,5.5,9.5,2.6,2.7,2.7,20.0,1.7,0.0,0.0,0.0,0.1,0.0,85.0,85.7,85.6,90.9,77.8,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.0,0.5,0.5,0.000,0.308,81637,17962,44,0.017,349.1,1330.0,1.7,0.0,0.5,2.9,0.0,0.0,0.0,0.0,0.0,129,否,否,否,否,否,否,14.723,21.326,54.4,-12.479,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,102.5,0.000,0.0,0.0,
17.9.2026,16:37:45.029,6943,10333,40.1,7239,9013,44.5,2.4,1024,25,0.728,0.727,0.728,0.728,0.728,897.6,897.6,897.6,897.6,897.6,99.7,797.8,997.3,125.2,149.5,121.9,228.6,93.0,108.3,77.7,111.3,111.2,125.2,7.5,16.9,2.3,20.8,3.8,4.6,4.6,3.8,3.1,20.8,7.5,100.0,4.9,6.0,4.7,9.3,3.3,4.0,3.1,4.4,4.6,4.9,9.0,9.0,9.0,9.0,9.0,8.0,44,43,45,43,43,56,57,55,57,57,45,45,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,44,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.305,1.474,0.017,0.649,1.069,0.547,0.285,45.0,45.0,78.0,78.0,0,14.1,4.7,0.0,0.0,38.5,9.1,12.5,6.4,17.2,6.0,8.1,6.0,8.2,8.5,0.1,0.0,0.0,0.1,0.2,80.9,79.7,76.7,82.4,84.6,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,47,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.0,1.0,1.0,0.000,0.658,81637,17963,44,0.053,349.1,1329.0,1.4,0.0,0.5,3.1,0.0,0.0,0.0,0.0,0.0,129,否,否,否,否,否,否,14.933,21.326,54.4,-12.814,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,99.8,0.000,0.0,0.0,
17.9.2026,16:37:47.029,6944,10332,40.1,7243,9009,44.5,2.4,1024,25,0.736,0.736,0.735,0.742,0.731,1022.5,1097.3,997.6,997.6,997.6,99.8,798.0,997.6,120.1,121.9,119.7,225.3,95.9,148.3,73.8,111.3,64.5,120.1,6.6,14.1,3.9,12.5,3.9,7.0,3.1,4.7,3.9,14.1,6.6,100.0,4.7,4.5,4.5,9.1,3.5,5.9,3.0,4.2,2.6,4.7,10.2,11.0,10.0,10.0,10.0,8.0,44,44,45,44,43,56,56,55,56,57,45,45,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,44,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.030,1.057,0.053,0.753,1.154,0.591,0.348,45.0,45.0,78.0,78.0,0,32.5,1.6,0.0,4.8,30.8,7.5,8.5,6.5,14.2,5.5,8.0,5.9,6.7,4.5,0.3,0.2,0.1,0.9,0.0,84.3,84.2,81.1,84.1,87.9,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,47,93.0,100.0,否,否,32777,29350,0.0,15.1,15.1,0.000,0.020,2751,337,0.0,0.8,0.8,0.000,0.558,81637,17964,43,0.048,448.9,1330.0,2.5,0.0,0.6,3.4,0.0,0.0,0.0,0.0,0.0,179,否,否,否,否,否,否,14.899,21.310,54.3,-12.981,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,98.5,0.760,0.0,0.0,
17.9.2026,16:37:49.022,6944,10333,40.1,7241,9011,44.5,2.4,1024,25,0.739,0.732,0.738,0.738,0.748,998.3,998.3,998.3,998.3,998.3,99.8,798.6,998.3,57.3,77.5,101.1,62.1,62.0,55.8,27.2,19.7,52.7,57.3,3.3,9.3,3.9,3.9,1.6,2.3,2.3,0.8,2.3,9.3,3.3,100.0,2.1,3.0,3.8,2.2,2.0,1.9,1.1,0.6,2.1,2.1,10.0,10.0,10.0,10.0,10.0,8.0,44,44,45,43,43,56,56,55,57,57,45,45,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,43,0.000,0.000,0.000,0.000,0.000,0.000,1.500,2.066,1.084,0.048,0.744,1.192,0.623,0.330,45.0,45.0,78.0,78.0,0,21.4,5.8,0.0,0.0,48.7,4.3,7.2,5.8,3.6,4.3,4.1,2.6,1.8,4.9,0.0,0.0,0.0,0.0,0.0,89.5,85.5,90.1,90.0,92.4,1331.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.4,0.8,1.3,0.008,0.540,81637,17966,44,0.021,349.4,1331.0,0.5,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,179,否,否,否,否,否,否,14.983,21.310,54.3,-12.935,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,98.8,0.000,0.0,0.0,
17.9.2026,16:37:51.027,6941,10335,40.1,7238,9014,44.5,2.4,1024,25,0.749,0.755,0.747,0.748,0.747,1097.6,1097.6,1097.6,1097.6,1097.6,99.8,798.2,997.8,43.9,37.4,97.2,74.2,37.8,32.8,26.9,14.4,30.7,43.9,1.4,3.1,1.6,3.1,0.0,0.0,0.8,0.8,1.6,3.1,1.4,100.0,1.6,1.3,3.7,2.8,1.0,0.9,1.1,0.5,1.2,1.6,11.0,11.0,11.0,11.0,11.0,8.0,44,43,45,43,43,56,57,55,57,57,45,45,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,44,44,43,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.345,0.565,0.021,0.670,0.871,0.480,0.294,45.0,45.0,78.0,78.0,0,4.6,5.2,0.0,0.0,75.3,2.7,3.2,4.9,4.4,1.8,2.0,1.9,1.1,2.3,0.0,0.0,0.0,0.0,0.0,93.1,90.7,92.3,92.8,96.4,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.0,0.5,0.5,0.000,0.726,81637,17967,44,0.000,349.2,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,否,否,否,否,否,否,14.939,21.295,54.3,-12.692,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,100.7,0.000,0.0,0.0,
17.9.2026,16:37:53.024,6941,10335,40.1,7237,9015,44.5,2.4,1024,25,0.745,0.749,0.737,0.748,0.747,1097.0,1097.0,1097.0,1097.0,1097.0,99.7,797.8,997.3,44.3,41.6,103.9,62.7,52.0,32.9,29.8,16.3,15.5,44.3,1.7,4.7,3.9,0.8,1.6,0.8,0.8,0.8,0.8,4.7,1.7,100.0,1.6,1.5,4.0,2.3,1.6,0.9,1.2,0.6,0.5,1.6,11.0,11.0,11.0,11.0,11.0,8.0,43,43,44,43,43,57,57,56,57,57,44,44,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,44,44,43,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.889,0.466,0.000,0.602,0.444,0.203,0.225,45.0,45.0,78.0,78.0,0,4.6,9.0,0.0,2.2,68.7,2.8,3.5,5.7,3.2,3.1,2.0,2.5,1.3,1.2,0.0,0.0,0.0,0.0,0.1,92.9,89.8,92.4,92.3,97.1,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,49.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.1,0.1,0.000,0.010,2751,337,0.0,1.2,1.2,0.000,0.376,81637,17968,43,0.000,349.1,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,否,否,否,否,否,否,14.932,21.295,54.3,-12.449,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,102.6,0.000,0.0,0.0,
17.9.2026,16:37:55.019,6940,10336,40.1,7236,9016,44.5,2.4,1024,25,0.748,0.760,0.747,0.738,0.747,1097.3,1097.3,1097.3,1097.3,1097.3,99.8,798.0,997.6,43.0,33.8,79.7,75.1,49.8,57.2,21.8,12.9,14.0,43.0,0.9,0.0,2.3,2.3,0.0,0.8,0.8,0.0,0.8,2.3,0.9,100.0,1.5,1.2,2.9,2.8,1.5,2.0,0.8,0.4,0.5,1.5,11.0,11.0,11.0,11.0,11.0,8.0,43,43,44,43,43,57,57,56,57,57,44,44,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,43,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.936,0.466,0.000,0.602,0.549,0.233,0.244,45.0,45.0,78.0,78.0,0,4.7,5.5,0.0,0.0,76.3,2.5,2.8,3.6,3.9,3.0,2.8,1.9,1.0,1.1,0.0,0.0,0.0,0.0,0.0,93.4,92.2,91.9,92.1,97.6,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,48.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.0,0.0,0.000,0.000,2751,337,0.0,0.4,0.4,0.000,0.081,81637,17968,43,0.000,349.1,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,否,否,否,否,否,否,14.972,21.295,54.3,-12.373,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,103.2,0.000,0.0,0.0,
17.9.2026,16:37:57.035,6940,10336,40.1,7236,9016,44.5,2.4,1024,25,0.746,0.745,0.747,0.747,0.748,1096.8,1096.8,1096.8,1096.8,1096.8,99.7,797.7,997.1,46.4,29.2,97.9,94.1,42.4,43.3,14.8,31.0,18.2,46.4,1.6,3.1,3.9,3.1,0.0,0.8,0.0,1.6,0.0,3.9,1.6,100.0,1.7,1.0,3.8,3.6,1.2,1.4,0.5,1.2,0.7,1.7,11.0,11.0,11.0,11.0,11.0,8.0,43,43,44,43,43,57,57,56,57,57,44,44,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,44,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.860,0.452,0.000,0.601,0.426,0.193,0.222,45.0,45.0,78.0,78.0,0,13.4,6.6,0.0,0.6,63.0,2.9,2.3,4.7,6.0,2.3,2.8,1.2,2.3,1.4,0.0,0.0,0.0,0.0,0.0,92.7,91.4,90.4,92.7,96.0,1329.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,48.0,35,否,否,44,44,46,93.0,100.0,否,否,32777,29350,0.0,0.1,0.1,0.000,0.014,2751,337,0.0,0.8,0.8,0.000,0.170,81637,17968,44,0.000,349.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,否,否,否,否,否,否,14.959,21.280,54.3,-12.312,28.7,0,0,0.0,0.0,0,0,0.0,0.0,0,103.7,0.000,0.0,0.0,
