Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","System Agent 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","电压偏移 (avg) [V]","IA 电压偏移 [V]","GT (Slice) 电压偏移 [V]","CLR (CBo/LLC/Ring) 电压偏移 [V]","GT (Unslice) 电压偏移 [V]","Uncore/SA 电压偏移 [V]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","DRAM 总功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C3 驻留率 (avg) [%]","Core 0 C3 驻留率 [%]","Core 1 C3 驻留率 [%]","Core 2 C3 驻留率 [%]","Core 3 C3 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","IA: 温度自适应睿频 (TVB) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU GT 使用率 [%]","GPU 媒体引擎使用率 [%]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","预计剩余时间 [分钟]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","iGPU VID [V]",
17.9.2026,12:15:44.493,4794,12483,27.7,4501,11751,27.6,0.0,1024,0,0.757,0.762,0.750,0.762,0.755,1097.3,1097.3,1097.3,1097.3,1097.3,99.8,798.0,997.6,303.3,298.4,217.4,424.8,394.6,341.5,267.8,236.6,245.5,303.3,26.3,34.4,12.5,35.9,31.2,39.1,19.5,19.5,18.0,39.1,26.3,100.0,12.4,11.8,9.0,17.6,16.1,14.1,11.1,9.5,10.1,12.4,11.0,11.0,11.0,11.0,11.0,8.0,35,35,37,34,34,65,65,63,66,66,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34,34,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.710,0.842,0.056,0.743,1.137,0.539,0.291,45.0,45.0,78.0,78.0,0,3.4,2.4,0.0,0.0,23.0,20.3,19.8,13.6,30.2,26.4,22.6,18.1,15.3,16.2,0.3,0.2,0.4,0.0,0.6,64.6,69.1,52.4,65.0,71.9,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.4,0.9,1.2,0.006,0.077,7583,2465,35,0.056,349.1,1330.0,4.0,0.0,1.2,6.9,0.0,0.0,0.0,0.0,0.0,192,否,否,否,否,否,否,14.330,15.033,34.2,-16.203,20.0,55.7,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:46.493,4795,12481,27.7,4499,11753,27.6,0.0,1024,0,0.734,0.736,0.731,0.731,0.737,798.2,798.2,798.2,798.2,798.2,99.8,798.2,997.8,113.3,150.6,42.8,133.7,116.5,165.0,80.6,104.4,113.1,113.3,16.5,17.8,6.2,31.8,13.2,38.0,7.8,8.5,8.5,38.0,16.5,100.0,4.4,5.6,1.6,5.4,4.2,6.8,3.1,4.2,4.4,4.4,8.0,8.0,8.0,8.0,8.0,8.0,34,34,35,33,34,66,66,65,67,66,34,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.497,2.351,0.071,0.758,1.785,0.731,0.367,45.0,45.0,78.0,78.0,0,6.6,6.8,0.0,0.0,45.8,10.8,12.1,4.5,14.2,10.3,17.6,8.1,10.4,8.9,0.1,0.2,0.0,0.0,0.0,78.7,80.7,79.0,74.6,80.5,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39.0,30,否,否,32,32,33,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.9,0.9,0.000,0.844,7583,2467,34,0.071,349.1,1330.0,3.0,0.0,0.9,5.7,0.0,0.0,0.0,0.0,0.0,192,否,否,否,否,否,否,14.295,15.018,34.1,-16.598,20.0,54.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:48.492,4795,12482,27.7,4499,11753,27.6,0.0,1024,0,0.733,0.730,0.742,0.733,0.728,798.0,798.0,798.0,798.0,798.0,99.8,798.0,997.6,95.0,138.2,38.2,108.3,117.3,136.5,60.8,61.1,99.9,95.0,14.7,21.9,7.0,20.3,14.1,39.8,5.5,6.2,3.1,39.8,14.7,100.0,3.7,5.2,1.4,4.3,4.2,5.6,2.3,2.3,3.8,3.7,8.0,8.0,8.0,8.0,8.0,8.0,34,34,35,33,33,66,66,65,67,67,35,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.692,0.868,0.051,0.695,1.129,0.494,0.295,45.0,45.0,78.0,78.0,0,6.4,5.7,0.0,1.0,50.6,9.6,12.8,4.3,12.2,11.1,15.4,6.8,6.9,7.7,0.0,0.0,0.0,0.0,0.0,81.2,80.9,80.5,79.6,84.0,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.4,0.4,0.000,0.260,7583,2467,33,0.051,349.2,1330.0,2.9,0.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,192,否,否,否,否,否,否,14.322,15.002,34.1,-16.538,20.0,54.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:50.493,4788,12488,27.7,4494,11758,27.6,0.0,1024,0,0.735,0.738,0.737,0.736,0.728,822.8,897.6,797.8,797.8,797.8,99.7,797.8,997.3,102.6,115.8,55.4,138.0,123.5,129.0,55.4,91.6,111.9,102.6,15.4,13.3,6.2,30.5,17.2,38.3,4.7,6.2,7.0,38.3,15.4,100.0,4.0,4.2,2.2,5.7,4.5,5.2,2.1,3.7,4.3,4.0,8.2,9.0,8.0,8.0,8.0,8.0,34,34,34,33,33,66,66,66,67,67,34,34,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.480,0.723,0.050,0.691,1.035,0.442,0.279,45.0,45.0,78.0,78.0,0,6.6,3.7,0.0,0.0,50.2,10.4,10.5,6.2,15.5,11.6,14.5,6.2,10.2,8.7,0.0,0.0,0.0,0.0,0.0,79.9,81.2,77.3,81.2,79.9,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,30,否,否,32,32,33,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.5,0.5,0.000,0.233,7583,2468,34,0.050,349.1,1330.0,2.9,0.0,1.0,5.9,0.0,0.0,0.0,0.0,0.0,192,否,否,否,否,否,否,14.222,15.002,34.1,-16.492,20.0,54.6,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:52.504,4789,12487,27.7,4494,11758,27.6,0.0,1024,0,0.737,0.742,0.734,0.741,0.732,897.6,897.6,897.6,897.6,897.6,99.7,897.6,997.3,111.0,144.0,44.1,149.9,123.0,143.7,80.5,67.7,135.3,111.0,18.7,33.6,7.0,25.8,14.1,36.7,10.9,10.9,10.2,36.7,18.7,100.0,4.3,5.3,1.7,6.1,4.4,5.8,3.1,2.6,5.3,4.3,9.0,9.0,9.0,9.0,9.0,9.0,34,34,35,33,33,66,66,65,67,67,35,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.545,0.769,0.049,0.693,1.047,0.461,0.282,45.0,45.0,78.0,78.0,0,7.4,4.3,0.0,1.0,44.3,11.3,13.6,4.9,16.8,11.5,15.9,8.9,7.4,11.4,0.0,0.0,0.0,0.0,0.0,77.9,79.1,75.4,77.0,80.1,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.0,0.0,0.000,0.266,7583,2468,33,0.049,349.1,1329.0,2.9,0.0,1.0,5.8,0.0,0.0,0.0,0.0,0.0,192,否,否,否,否,否,否,14.321,14.987,34.0,-16.416,20.0,54.8,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:54.486,4890,12387,28.3,4587,11666,28.2,0.0,1024,0,0.759,0.760,0.759,0.759,0.758,1097.3,1097.3,1097.3,1097.3,1097.3,99.8,798.0,997.6,243.3,281.2,148.5,308.6,239.8,262.9,208.0,280.7,216.4,243.3,22.0,25.8,14.1,32.8,25.0,35.9,16.4,14.1,11.7,35.9,22.0,100.0,9.8,11.0,5.9,12.8,9.5,10.8,8.4,11.6,8.7,9.8,11.0,11.0,11.0,11.0,11.0,8.0,35,35,36,34,34,65,65,64,66,66,36,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.637,0.805,0.053,0.720,1.143,0.511,0.285,45.0,45.0,78.0,78.0,0,5.9,4.1,0.0,0.8,40.2,16.2,19.8,9.4,22.8,15.9,19.3,13.4,15.6,13.1,0.5,0.5,0.4,0.8,0.2,71.5,72.0,68.0,71.5,74.7,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.8,0.8,0.000,0.537,7583,2469,34,0.053,349.1,1329.0,8.4,0.0,2.0,11.7,0.0,0.0,0.0,0.0,0.0,322,否,否,否,否,否,否,14.081,14.987,34.0,-16.401,20.0,54.8,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:56.492,4841,12435,28.0,4536,11716,27.9,0.0,1024,0,0.736,0.739,0.737,0.732,0.738,898.0,898.0,898.0,898.0,898.0,99.8,798.2,997.8,212.3,198.9,80.7,206.9,143.3,398.5,330.7,140.6,198.7,212.3,25.5,43.8,8.6,38.3,18.0,34.4,24.2,12.5,24.2,43.8,25.5,100.0,8.5,7.5,3.1,8.4,5.3,16.7,13.9,5.5,8.0,8.5,9.0,9.0,9.0,9.0,9.0,8.0,36,36,36,36,34,64,64,64,64,66,36,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.946,1.869,0.166,0.876,1.456,0.580,0.351,45.0,45.0,78.0,78.0,0,6.9,3.3,0.0,0.6,25.2,15.7,15.4,6.6,19.3,11.0,24.9,21.1,10.9,16.2,0.0,0.0,0.0,0.1,0.0,69.0,75.7,71.7,56.2,72.6,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.5,0.5,0.000,0.159,7583,2469,34,0.166,349.1,1330.0,5.6,0.0,1.5,8.9,0.0,0.0,0.0,0.0,0.0,336,否,否,否,否,否,否,14.274,14.972,34.0,-16.674,20.0,53.9,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:15:58.498,4839,12437,28.0,4536,11716,27.9,0.0,1024,0,0.736,0.738,0.735,0.736,0.736,897.1,897.1,897.1,897.1,897.1,99.7,797.5,996.8,125.5,180.5,61.3,150.2,113.3,147.9,78.7,107.2,164.8,125.5,19.4,35.2,8.6,27.3,18.0,34.4,11.7,7.0,13.3,35.2,19.4,100.0,4.9,6.7,2.4,6.0,4.6,5.9,3.2,4.0,6.3,4.9,9.0,9.0,9.0,9.0,9.0,8.0,35,35,36,34,34,65,65,64,66,66,36,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.009,1.895,0.098,0.799,1.672,0.702,0.337,45.0,45.0,78.0,78.0,0,11.3,4.5,0.0,1.4,34.5,13.1,16.9,6.8,16.7,12.7,16.7,8.9,11.6,14.7,0.1,0.0,0.3,0.0,0.0,75.0,75.0,75.6,75.9,73.7,1329.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,1.0,1.0,0.008,0.223,7583,2470,34,0.098,349.2,1330.0,4.2,0.0,1.2,7.2,0.0,0.0,0.0,0.0,0.0,247,否,否,否,否,否,否,14.290,14.957,34.0,-16.933,20.0,53.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:16:0.492,4798,12478,27.7,4505,11748,27.7,0.0,1024,0,0.739,0.739,0.739,0.741,0.738,898.0,898.0,898.0,898.0,898.0,99.8,798.2,997.8,190.2,242.2,115.3,303.3,167.1,230.1,109.6,155.9,198.4,190.2,23.4,48.1,7.0,17.8,11.6,41.9,5.4,10.9,44.2,48.1,23.4,100.0,7.6,9.4,4.6,12.5,6.5,9.2,4.3,6.1,8.0,7.6,9.0,9.0,9.0,9.0,9.0,8.0,34,35,35,34,34,66,65,65,66,66,35,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.855,0.905,0.053,0.741,1.313,0.601,0.315,45.0,45.0,78.0,78.0,0,19.1,4.1,0.0,1.9,26.4,15.1,20.1,9.5,23.0,13.5,18.9,8.8,11.5,15.6,0.1,0.1,0.1,0.1,0.2,69.8,69.5,65.4,71.7,72.7,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39.0,30,否,否,32,32,33,93.0,100.0,否,否,32759,29270,0.0,15.4,15.4,0.000,0.036,769,297,0.0,1.3,1.3,0.016,0.081,7583,2470,33,0.053,348.9,1329.0,5.9,0.0,1.5,9.1,0.0,0.0,0.0,0.0,0.0,248,否,否,否,否,否,否,13.918,14.957,34.0,-16.887,20.0,53.1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,12:16:2.492,4792,12484,27.7,4498,11754,27.6,0.0,1024,0,0.737,0.739,0.736,0.737,0.735,897.6,897.6,897.6,897.6,897.6,99.7,797.8,997.3,91.2,144.4,44.4,115.2,102.5,121.7,35.4,52.2,113.8,91.2,18.8,44.5,0.8,4.7,7.0,45.3,1.6,2.3,43.8,45.3,18.8,100.0,3.5,5.4,1.7,4.6,3.5,4.8,1.3,1.9,4.5,3.5,9.0,9.0,9.0,9.0,9.0,8.0,34,34,36,33,33,66,66,64,67,67,35,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35,35,34,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.751,1.596,0.096,0.863,1.674,0.713,0.371,45.0,45.0,78.0,78.0,0,6.4,6.8,0.0,0.0,51.8,9.0,13.6,4.8,12.7,9.2,13.1,3.9,5.6,8.9,0.0,0.1,0.0,0.0,0.0,80.7,79.1,78.2,81.6,84.0,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39.0,30,否,否,32,32,32,93.0,100.0,否,否,32759,29270,0.0,0.0,0.0,0.000,0.000,769,297,0.0,0.9,0.9,0.000,0.045,7583,2470,33,0.096,349.2,1330.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,248,否,否,否,否,否,否,14.301,14.942,33.9,-17.130,20.0,52.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
