Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","System Agent 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","电压偏移 (avg) [V]","IA 电压偏移 [V]","GT (Slice) 电压偏移 [V]","CLR (CBo/LLC/Ring) 电压偏移 [V]","GT (Unslice) 电压偏移 [V]","Uncore/SA 电压偏移 [V]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","DRAM 总功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C3 驻留率 (avg) [%]","Core 0 C3 驻留率 [%]","Core 1 C3 驻留率 [%]","Core 2 C3 驻留率 [%]","Core 3 C3 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","IA: 温度自适应睿频 (TVB) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU GT 使用率 [%]","GPU 媒体引擎使用率 [%]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","预计剩余时间 [分钟]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","iGPU VID [V]",
17.9.2026,11:7:54.167,5049,12227,29.2,4805,11447,29.5,0.0,1024,0,0.733,0.738,0.736,0.733,0.728,823.0,897.8,798.0,798.0,798.0,99.8,798.0,997.6,231.6,263.4,102.9,414.3,225.1,327.2,109.4,182.0,228.6,231.6,24.0,35.9,7.8,34.4,38.3,26.6,10.2,12.5,26.6,38.3,24.0,100.0,9.2,10.4,4.0,16.9,8.5,13.2,4.3,7.2,9.2,9.2,8.2,9.0,8.0,8.0,8.0,8.0,36,36,38,35,36,64,64,62,65,64,38,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,36,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.539,2.203,0.056,0.788,3.279,0.893,0.417,45.0,45.0,78.0,78.0,0,11.3,3.4,0.0,0.0,23.4,16.6,19.4,8.4,25.4,16.5,22.5,9.0,14.0,17.2,1.7,1.9,1.1,1.9,2.0,64.0,68.7,57.4,65.7,64.2,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,42.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.0,0.9,0.9,0.000,0.198,4527,2179,37,0.056,349.1,1329.0,5.1,0.0,1.3,8.0,0.0,0.0,0.0,0.0,0.0,187,否,否,否,否,否,否,15.036,32.498,73.8,-24.244,20.0,80.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:7:56.059,5059,12217,29.2,4809,11443,29.5,0.0,1024,0,0.731,0.739,0.728,0.728,0.728,797.8,797.8,797.8,797.8,797.8,99.7,797.8,997.3,327.2,280.8,233.9,418.3,274.7,367.2,298.4,420.9,323.5,327.2,29.0,39.1,13.3,28.9,32.8,35.9,18.8,24.2,39.1,39.1,29.0,100.0,13.5,11.2,9.7,17.6,11.0,15.1,12.5,17.6,13.5,13.5,8.0,8.0,8.0,8.0,8.0,8.0,36,37,37,36,36,64,63,63,64,64,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,39,37,0.000,0.000,0.000,0.000,0.000,0.000,2.000,3.289,2.105,0.086,0.835,2.091,0.761,0.363,45.0,45.0,78.0,78.0,0,4.0,1.9,0.0,0.4,17.8,21.3,18.1,16.3,24.9,18.7,24.1,19.2,27.9,20.9,0.2,0.4,0.0,0.3,0.2,61.6,65.9,62.2,61.7,56.7,1329.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,43.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.9,1.2,2.1,0.128,1.213,4527,2181,37,0.086,349.1,1330.0,4.7,0.0,1.4,8.2,0.0,0.0,0.0,0.0,0.0,184,否,否,否,否,否,否,15.158,32.482,73.8,-23.499,20.0,82.9,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:7:58.057,5058,12219,29.2,4809,11443,29.5,0.0,1024,0,0.732,0.727,0.733,0.732,0.737,897.8,897.8,897.8,897.8,897.8,99.8,798.0,997.6,158.7,199.1,63.7,252.3,164.1,193.2,94.2,145.0,158.3,158.7,24.4,37.2,5.4,28.7,31.8,25.6,17.1,17.1,32.6,37.2,24.4,100.0,6.3,7.9,2.5,10.4,5.9,7.7,3.8,5.9,6.4,6.3,9.0,9.0,9.0,9.0,9.0,8.0,36,36,37,36,36,64,64,63,64,64,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,38,36,0.000,0.000,0.000,0.000,0.000,0.000,2.000,3.953,2.689,0.073,0.785,2.138,0.792,0.423,45.0,45.0,78.0,78.0,0,6.8,1.0,0.0,0.0,30.5,16.3,18.9,6.6,27.7,15.8,20.8,10.3,15.8,14.2,0.1,0.1,0.2,0.0,0.0,67.5,73.4,56.3,69.8,70.6,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,42.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.0,0.4,0.4,0.000,0.285,4527,2182,36,0.073,349.1,1329.0,3.1,0.0,1.0,5.9,0.0,0.0,0.0,0.0,0.0,184,否,否,否,否,否,否,15.256,32.467,73.8,-23.089,20.0,84.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:0.057,5059,12218,29.2,4808,11444,29.5,0.0,1024,0,0.731,0.742,0.728,0.728,0.728,823.0,897.8,798.0,798.0,798.0,99.8,798.0,997.6,112.0,136.1,68.1,139.9,131.9,132.8,72.8,90.2,124.1,112.0,22.1,43.8,4.7,13.3,27.3,33.6,7.0,7.8,39.1,43.8,22.1,100.0,4.3,5.2,2.7,5.6,4.7,5.3,2.9,3.5,4.9,4.3,8.2,9.0,8.0,8.0,8.0,8.0,36,36,37,36,36,64,64,63,64,64,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,36,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.211,1.169,0.068,0.785,1.521,0.673,0.325,45.0,45.0,78.0,78.0,0,11.0,10.1,0.0,0.0,36.2,11.4,13.1,7.2,15.1,12.6,14.5,7.9,9.9,10.5,0.0,0.0,0.0,0.0,0.0,77.2,78.9,73.4,77.1,79.4,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,42.0,32,否,否,35,35,38,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.4,1.2,1.6,0.016,0.486,4527,2183,36,0.068,349.1,1330.0,4.6,0.0,1.4,8.1,0.0,0.0,0.0,0.0,0.0,184,否,否,否,否,否,否,15.266,32.452,73.7,-22.314,20.0,87.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:2.057,5057,12219,29.2,4807,11445,29.5,0.0,1024,0,0.728,0.728,0.728,0.728,0.727,823.0,897.8,798.0,798.0,798.0,99.8,798.0,997.6,109.5,135.1,62.7,156.7,112.3,132.9,88.6,73.0,114.7,109.5,24.4,44.5,1.6,25.0,39.8,30.5,10.2,4.7,39.1,44.5,24.4,100.0,4.3,5.1,2.5,6.4,3.8,5.3,3.6,2.8,4.5,4.3,8.2,9.0,8.0,8.0,8.0,8.0,36,36,37,35,35,64,64,63,65,65,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,37,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.810,0.838,0.055,0.738,1.428,0.597,0.338,45.0,45.0,78.0,78.0,0,12.9,3.0,0.0,0.0,42.8,11.4,12.7,7.1,17.4,11.0,14.6,10.0,8.3,9.8,0.0,0.0,0.0,0.0,0.0,77.4,79.5,72.5,76.6,81.1,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,41.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.0,0.8,0.8,0.000,0.277,4527,2183,36,0.055,349.1,1330.0,3.6,0.0,1.2,7.0,0.0,0.0,0.0,0.0,0.0,184,否,否,否,否,否,否,15.286,32.437,73.7,-21.584,20.0,90.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:4.050,5111,12165,29.5,4808,11444,29.5,0.0,1024,0,0.735,0.735,0.736,0.737,0.733,898.5,898.5,898.5,898.5,898.5,99.8,798.6,998.3,151.0,154.2,66.5,270.7,148.1,193.4,58.8,185.8,130.6,151.0,23.1,40.3,0.8,19.4,29.5,38.0,4.7,9.3,42.6,42.6,23.1,100.0,6.0,6.0,2.6,11.1,5.5,7.7,2.2,7.6,5.2,6.0,9.0,9.0,9.0,9.0,9.0,8.0,36,36,38,36,36,64,64,62,64,64,37,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,37,0.000,0.000,0.000,0.000,0.000,0.000,2.500,1.728,0.829,0.056,0.742,1.260,0.564,0.298,45.0,45.0,78.0,78.0,0,6.6,6.7,0.0,0.0,37.3,11.7,12.3,6.4,21.1,11.1,16.1,5.6,11.0,9.7,0.1,0.0,0.2,0.0,0.2,76.2,80.4,68.8,77.4,78.4,1331.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,43.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,3.0,0.4,3.4,2.752,0.605,4533,2184,36,0.056,349.1,1330.0,3.0,0.0,1.0,6.1,0.0,0.0,0.0,0.0,0.0,184,否,否,否,否,否,否,15.266,32.437,73.7,-20.809,20.0,93.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:6.049,5059,12218,29.2,4795,11457,29.5,0.0,1024,0,0.736,0.736,0.737,0.733,0.738,897.1,897.1,897.1,897.1,897.1,99.7,797.5,996.8,250.0,226.1,640.7,290.2,169.2,181.5,83.6,299.1,109.8,250.0,25.5,35.2,28.9,21.9,35.2,27.3,8.6,12.5,34.4,35.2,25.5,100.0,10.2,8.6,27.6,11.8,6.2,7.2,3.3,12.5,4.2,10.2,9.0,9.0,9.0,9.0,9.0,8.0,36,37,37,35,36,64,63,63,65,64,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,41,41,37,0.000,0.000,0.000,0.000,0.000,0.000,16.500,2.302,1.347,0.051,0.728,1.473,0.584,0.338,45.0,45.0,78.0,78.0,0,7.8,2.8,11.5,3.7,3.3,15.2,14.8,30.0,21.8,13.3,14.2,6.5,14.0,7.2,0.2,0.0,0.4,0.3,0.3,66.8,49.8,63.4,76.9,77.0,1329.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,43.0,32,否,否,35,35,38,93.0,100.0,否,否,32759,29267,0.0,0.1,0.1,0.000,0.020,769,295,6.7,0.1,6.8,6.524,0.071,4545,2185,37,0.051,349.4,1331.0,2.7,0.0,0.9,5.3,0.0,0.0,0.0,0.0,0.0,183,否,否,否,否,否,否,15.084,32.422,73.7,-20.611,20.0,94.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:8.051,5057,12219,29.2,4779,11473,29.4,0.0,1024,0,0.732,0.733,0.731,0.732,0.733,898.0,898.0,898.0,898.0,898.0,99.8,798.2,997.8,99.8,133.2,55.2,153.7,111.9,106.9,66.9,55.0,115.4,99.8,22.4,46.9,1.6,7.8,32.8,39.1,4.7,1.6,44.5,46.9,22.4,100.0,3.9,5.2,2.2,6.3,4.0,4.1,2.7,2.0,4.6,3.9,9.0,9.0,9.0,9.0,9.0,8.0,36,36,37,36,36,64,64,63,64,64,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,36,0.000,0.000,0.000,0.000,0.000,0.000,1.500,5.932,2.189,0.049,0.726,3.095,0.853,2.865,45.0,45.0,78.0,78.0,0,6.3,4.3,54.0,0.0,0.0,9.3,11.9,5.9,14.1,10.1,10.7,7.1,5.7,9.0,0.0,0.0,0.0,0.0,0.0,80.8,81.3,76.4,81.2,84.2,1330.4,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,41.0,32,否,否,35,35,38,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.0,0.9,0.9,0.008,0.059,4545,2185,36,0.049,348.9,1329.0,2.7,0.0,0.9,5.3,0.0,0.0,0.0,0.0,0.0,183,否,否,否,否,否,否,14.869,32.391,73.6,-21.994,20.0,88.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:10.058,5052,12225,29.2,4778,11474,29.4,0.0,1024,0,0.732,0.734,0.734,0.733,0.728,873.3,898.2,898.2,898.2,798.4,99.8,798.4,998.1,120.4,144.6,70.4,160.2,122.7,117.0,54.1,86.4,208.1,120.4,23.4,46.9,2.3,8.6,31.2,41.4,3.9,2.3,50.8,50.8,23.4,100.0,4.7,5.4,2.9,6.5,4.3,4.6,2.1,3.4,8.6,4.7,8.8,9.0,9.0,9.0,8.0,8.0,36,36,37,35,37,64,64,63,65,63,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,36,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.558,0.799,0.049,0.704,1.841,0.440,0.285,45.0,45.0,78.0,78.0,0,8.2,6.0,0.0,45.5,0.0,10.0,11.8,7.0,15.2,10.3,11.7,5.4,7.3,11.4,0.1,0.1,0.1,0.3,0.0,78.2,77.7,73.9,81.0,80.2,1330.7,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,42.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.1,0.1,0.000,0.012,769,295,0.0,0.8,0.8,0.000,0.047,4545,2185,36,0.049,349.2,1330.0,2.8,0.0,0.9,5.5,0.0,0.0,0.0,0.0,0.0,183,否,否,否,否,否,否,15.032,32.376,73.6,-22.952,20.0,84.6,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
17.9.2026,11:8:12.055,5051,12225,29.2,4778,11474,29.4,0.0,1024,0,0.736,0.741,0.732,0.733,0.738,897.8,897.8,897.8,897.8,897.8,99.8,798.0,997.6,97.2,125.6,49.3,120.9,136.3,129.3,43.2,69.2,103.5,97.2,24.2,50.0,0.8,7.8,34.4,46.9,2.3,3.9,47.7,50.0,24.2,100.0,3.8,4.8,2.0,4.8,5.0,5.2,1.6,2.6,4.0,3.8,9.0,9.0,9.0,9.0,9.0,8.0,36,35,37,35,36,64,65,63,65,64,37,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,37,36,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.410,1.019,0.049,0.704,1.760,0.504,0.854,45.0,45.0,78.0,78.0,0,6.6,3.5,0.0,56.8,0.0,9.0,11.0,5.3,11.6,11.9,12.1,4.4,7.2,8.2,0.0,0.0,0.0,0.0,0.0,81.4,82.6,76.8,82.8,83.2,1330.1,13.33,19,19,19,43,62,467,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,41.0,32,否,否,35,35,37,93.0,100.0,否,否,32759,29267,0.0,0.0,0.0,0.000,0.000,769,295,0.0,0.4,0.4,0.000,0.004,4545,2185,36,0.049,349.3,1330.0,2.8,0.0,0.9,5.6,0.0,0.0,0.0,0.0,0.0,183,否,否,否,否,否,否,15.015,32.361,73.5,-23.119,20.0,84.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.000,
