Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PCH 功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","Gear Mode []","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","预计剩余时间 [分钟]","呈现帧率 (avg) [FPS]","呈现帧率 (99%) [FPS]","呈现帧率 (1%) [FPS]","呈现帧率 (0.1%) [FPS]","呈现帧率 (1% low) [FPS]","呈现帧率 (0.1% low) [FPS]","显示帧率 (avg) [FPS]","显示帧率 (99%) [FPS]","显示帧率 (1%) [FPS]","显示帧率 (0.1%) [FPS]","显示帧率 (1% low) [FPS]","显示帧率 (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","iGPU VID [V]",
17.9.2026,21:49:34.629,5922,33590,14.9,5650,10532,34.9,0.0,23329,0,0.763,0.795,0.757,0.750,0.750,0.678,0.698,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,29.5,128.5,88.9,13.3,2.6,2.0,0.2,0.3,0.2,29.5,2.6,11.1,8.1,1.6,0.0,0.0,0.0,0.0,0.0,11.1,2.6,100.0,1.1,4.5,3.4,0.5,0.1,0.1,0.0,0.0,0.0,1.1,10.0,10.0,10.0,10.0,10.0,8.0,32,30,33,34,33,68,70,67,66,67,36,34,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,33,36,0.250,2.181,0.344,0.009,5.706,0.863,0.355,0.607,35.0,30.0,64.0,64.0,0,17.8,9.3,2.0,2.0,49.0,2.9,12.9,8.4,1.3,0.3,0.2,0.0,0.0,0.0,95.0,82.2,98.3,99.7,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,1.9,1.9,0.000,0.020,2689,1127,37,0.009,100.0,1066.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,484,否,否,否,否,否,否,7.691,32.149,77.8,-8.337,25.2,231.4,5.2,14.5,3.2,3.2,3.2,3.2,5.2,14.4,3.2,3.2,3.2,3.2,191.72,314.35,69.08,66.83,316.85,316.85,0.29,191.43,191.34,0.38,125.26,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:36.585,5932,33579,15.0,5662,10520,34.9,0.0,23329,0,0.767,0.797,0.762,0.755,0.752,0.686,0.698,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,267.4,594.4,467.4,369.0,300.5,156.0,113.0,99.9,38.8,267.4,13.2,30.0,23.6,16.2,13.3,8.1,5.7,6.3,2.6,30.0,13.2,100.0,10.5,23.1,18.3,14.4,11.8,6.3,4.6,4.0,1.5,10.5,11.0,11.0,11.0,11.0,11.0,9.0,34,32,35,35,34,66,68,65,65,66,37,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,36,37,7.000,1.619,0.156,0.005,4.019,0.693,0.240,0.498,35.0,30.0,64.0,64.0,0,10.8,1.0,1.5,3.1,27.1,14.3,32.6,25.3,17.8,14.4,8.6,6.1,6.6,2.9,75.2,50.2,72.3,86.0,92.4,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,是,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,2.4,2.4,0.081,0.053,2689,1127,37,0.005,100.0,1066.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,488,否,否,否,否,否,否,7.433,32.141,77.8,-8.228,25.2,234.4,5.2,19.9,2.5,2.5,2.5,2.5,5.2,19.7,2.5,2.5,2.5,2.5,193.33,398.87,50.39,49.77,399.53,399.53,0.27,193.04,193.09,0.23,146.74,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:38.580,5930,33581,15.0,5661,10521,34.9,0.0,23329,0,0.763,0.795,0.760,0.750,0.747,0.678,0.738,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,173.2,479.0,350.9,297.5,244.2,11.1,0.7,1.8,0.3,173.2,6.8,21.6,15.9,9.4,7.3,0.5,0.0,0.1,0.0,21.6,6.8,100.0,6.8,18.5,14.0,11.7,9.8,0.4,0.0,0.1,0.0,6.8,10.0,10.0,10.0,10.0,10.0,8.0,34,32,34,35,34,66,68,66,65,66,37,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,34,36,0.250,4.085,2.089,0.053,8.632,1.009,0.462,0.510,35.0,30.0,64.0,64.0,0,13.9,7.0,1.4,2.0,34.9,7.5,24.0,16.9,10.1,7.7,0.7,0.1,0.2,0.0,87.6,67.0,84.3,99.2,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,4.7,4.7,0.026,0.171,2689,1128,38,0.053,100.0,1066.0,0.5,2.7,0.0,0.0,0.0,0.0,0.0,489,否,否,否,否,否,否,7.522,32.141,77.8,-8.816,25.2,218.7,17.8,54.9,12.4,12.0,12.0,12.0,17.8,52.7,12.4,12.0,12.0,12.0,56.22,80.99,18.18,15.77,83.43,83.43,0.30,55.92,55.85,0.36,14.79,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:40.574,5929,33582,15.0,5659,10523,34.9,0.0,23329,0,0.764,0.797,0.760,0.750,0.750,0.681,0.698,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,40.0,143.0,102.2,59.8,13.4,0.6,0.2,0.3,0.2,40.0,2.7,11.1,7.6,2.4,0.2,0.0,0.0,0.0,0.0,11.1,2.7,100.0,1.5,5.1,3.9,2.4,0.5,0.0,0.0,0.0,0.0,1.5,10.0,10.0,10.0,10.0,10.0,8.0,33,31,32,34,34,67,69,68,66,66,36,34,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,34,37,0.250,3.970,1.981,0.076,7.984,0.910,0.399,0.634,35.0,30.0,64.0,64.0,0,17.3,8.1,1.5,2.2,49.3,3.2,13.3,8.5,2.8,0.5,0.1,0.0,0.0,0.0,94.5,81.7,96.7,99.9,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,31,97.0,100.0,否,否,24292,21071,0.0,1.2,1.2,0.000,0.560,2689,1129,38,0.076,100.0,1066.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,489,否,否,否,否,否,否,7.632,32.134,77.8,-8.807,25.2,218.9,17.8,54.9,12.4,12.0,12.0,12.0,17.8,52.7,12.4,12.0,12.0,12.0,56.22,80.99,18.18,15.77,83.43,83.43,0.30,55.92,55.85,0.36,14.79,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:42.583,5920,33592,14.9,5651,10531,34.9,0.0,23329,0,0.763,0.797,0.757,0.750,0.747,0.681,0.698,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,119.0,429.6,311.0,118.6,87.6,4.3,0.2,0.5,0.2,119.0,6.5,23.5,16.1,6.2,4.5,0.7,0.4,0.4,0.4,23.5,6.5,100.0,4.4,15.7,11.8,4.1,3.1,0.2,0.0,0.0,0.0,4.4,10.0,10.0,10.0,10.0,10.0,8.0,33,31,33,35,34,67,69,67,65,66,36,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,34,37,0.250,1.772,0.309,0.009,4.220,0.696,0.243,0.484,35.0,30.0,64.0,64.0,0,15.0,9.9,1.3,2.8,32.2,7.0,26.5,17.4,7.0,4.8,0.4,0.0,0.1,0.0,89.0,66.3,90.3,99.5,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,2.4,2.4,0.000,0.146,2689,1129,37,0.009,100.0,1066.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,489,否,否,否,否,否,否,7.596,32.134,77.8,-8.758,25.2,220.1,20.5,61.9,15.0,15.0,15.0,15.0,20.5,60.9,15.0,15.0,15.0,15.0,48.82,66.81,16.07,16.01,66.84,66.84,0.30,48.53,48.46,0.36,8.01,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:44.784,5922,33590,14.9,5654,10529,34.9,0.0,23329,0,0.761,0.795,0.757,0.747,0.745,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,162.7,428.9,553.6,152.3,96.3,39.2,24.0,7.3,0.4,162.7,8.8,23.0,28.3,9.4,5.7,2.3,1.3,0.1,0.0,28.3,8.8,100.0,6.3,15.8,22.2,5.9,3.9,1.6,1.0,0.3,0.0,6.3,10.0,10.0,10.0,10.0,10.0,8.0,34,32,34,35,35,66,68,66,65,65,38,35,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,38,38,2.000,2.772,0.926,0.010,6.630,0.875,0.338,0.607,35.0,30.0,64.0,64.0,0,9.3,5.7,0.7,2.5,22.2,9.8,26.3,29.9,10.4,6.3,2.8,1.8,0.6,0.0,79.5,44.1,78.7,95.9,99.4,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,32,97.0,100.0,否,否,24292,21071,0.2,1.8,2.0,0.192,0.067,2689,1129,37,0.010,100.0,1066.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,489,否,否,否,否,否,否,7.672,32.126,77.8,-8.761,25.2,220.0,20.5,61.9,15.0,15.0,15.0,15.0,20.5,60.9,15.0,15.0,15.0,15.0,48.82,66.81,16.07,16.01,66.84,66.84,0.30,48.53,48.46,0.36,8.01,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:46.581,5940,33572,15.0,5671,10512,35.0,0.0,23329,0,0.965,1.045,1.165,0.900,0.750,0.966,0.736,3025.0,3799.9,4199.9,2900.0,1200.0,100.0,3599.9,266.5,802.8,570.0,461.7,234.2,52.8,5.3,4.5,0.8,266.5,10.1,27.3,20.9,14.4,10.4,3.9,1.4,1.3,1.2,27.3,10.1,100.0,9.9,29.9,21.3,16.9,8.9,2.1,0.2,0.2,0.0,9.9,30.2,38.0,42.0,29.0,12.0,36.0,44,48,48,43,39,56,52,52,57,61,48,48,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,35,38,0.250,3.764,1.624,0.008,8.864,0.986,0.316,0.760,35.0,30.0,64.0,64.0,0,10.3,5.7,0.8,1.2,26.6,10.2,30.4,22.6,16.0,9.5,2.2,0.3,0.2,0.1,79.5,52.1,68.8,97.4,99.7,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,7.5,7.5,0.000,0.460,2689,1130,38,0.008,100.0,1066.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0,489,否,否,否,否,否,否,7.617,32.126,77.8,-9.118,25.2,211.4,39.5,65.9,4.4,3.0,2.9,2.9,39.3,61.0,4.4,3.0,2.9,2.9,25.34,226.57,15.02,14.74,349.13,349.13,1.12,24.22,24.88,0.46,17.92,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:48.579,5978,33533,15.1,5716,10467,35.3,0.0,23329,0,0.766,0.797,0.762,0.752,0.752,0.686,0.738,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,203.3,641.9,476.9,251.2,158.9,52.6,23.5,14.0,7.0,203.3,8.6,27.9,18.6,11.1,7.2,2.3,0.8,0.5,0.2,27.9,8.6,100.0,7.7,24.9,17.1,9.4,6.2,2.1,0.9,0.5,0.3,7.7,11.0,11.0,11.0,11.0,11.0,9.0,35,34,35,36,34,65,66,65,64,66,38,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,35,37,0.250,5.489,3.289,0.082,10.676,1.032,0.454,0.667,35.0,30.0,64.0,64.0,0,10.4,8.9,0.4,1.4,25.2,9.8,30.7,21.4,12.8,8.1,2.8,1.2,1.0,0.6,81.7,51.7,80.2,96.2,98.6,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,是,否,否,是,否,是,否,否,否,否,否,否,否,是,否,否,否,否,否,是,否,否,否,否,否,否,否,是,否,否,35.0,32,32,33,97.0,100.0,否,否,24292,21071,0.5,1.9,2.4,0.008,0.062,2689,1130,38,0.082,100.0,1066.0,0.3,1.8,0.0,0.0,0.0,0.0,0.0,501,否,否,否,否,否,否,7.637,32.119,77.8,-9.730,25.2,198.1,27.7,71.1,2.3,1.6,1.6,1.6,27.8,60.9,2.3,1.6,1.6,1.6,36.07,435.29,13.89,13.58,633.84,633.84,2.10,33.97,35.74,0.33,38.43,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:50.597,5982,33529,15.1,5719,10463,35.3,0.0,23329,0,0.932,1.127,1.097,0.752,0.750,0.966,0.736,2625.0,4199.9,3899.9,1200.0,1200.0,100.0,3599.9,117.0,357.3,265.2,197.8,99.8,10.5,1.1,3.9,0.2,117.0,5.5,17.6,13.4,8.3,4.8,0.0,0.0,0.1,0.0,17.6,5.5,100.0,4.4,13.3,10.1,7.2,3.8,0.4,0.0,0.2,0.0,4.4,26.2,42.0,39.0,12.0,12.0,36.0,43,46,47,40,39,57,54,53,60,61,47,47,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,35,38,0.250,4.110,1.758,0.220,8.988,1.061,0.467,0.651,35.0,30.0,64.0,64.0,0,14.9,7.6,0.6,2.8,40.6,6.0,19.4,14.1,8.8,4.6,0.9,0.1,0.3,0.0,88.4,70.3,84.4,99.0,99.7,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,35.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,3.8,3.8,0.000,0.106,2689,1130,38,0.220,100.0,1066.0,1.4,8.2,0.0,0.0,0.0,0.0,0.0,513,否,否,否,否,否,否,7.665,32.111,77.7,-9.719,25.2,198.2,5.4,60.7,1.1,1.0,1.0,1.0,5.4,60.0,1.1,1.0,1.0,1.0,185.92,951.50,16.46,16.45,998.95,998.95,0.36,185.55,185.76,0.16,324.80,0,0,0.0,0.0,0,0.000,
17.9.2026,21:49:52.609,5981,33530,15.1,5718,10464,35.3,0.0,23329,0,0.762,0.797,0.757,0.750,0.745,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,43.3,163.5,105.2,49.6,25.2,0.8,0.2,1.5,0.2,43.3,2.8,11.3,7.5,2.2,0.0,1.3,0.0,0.0,0.0,11.3,2.8,100.0,1.6,5.9,4.0,1.9,1.0,0.0,0.0,0.1,0.0,1.6,10.0,10.0,10.0,10.0,10.0,8.0,33,32,33,34,34,67,68,67,66,66,38,34,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37,35,37,0.250,2.938,1.178,0.027,6.367,0.835,0.330,0.568,35.0,30.0,64.0,64.0,0,17.7,9.0,1.9,2.4,46.9,3.3,13.7,8.6,2.8,1.3,0.1,0.0,0.2,0.0,93.9,80.7,95.3,99.8,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,34.0,32,32,32,97.0,100.0,否,否,24292,21071,0.0,2.0,2.0,0.000,0.109,2689,1131,37,0.027,100.0,1066.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,524,否,否,否,否,否,否,7.682,32.103,77.7,-9.679,25.2,199.0,5.4,60.7,1.1,1.0,1.0,1.0,5.4,60.0,1.1,1.0,1.0,1.0,185.92,951.50,16.46,16.45,998.95,998.95,0.36,185.55,185.76,0.16,324.80,0,0,0.0,0.0,0,0.000,
