Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PCH 功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","Gear Mode []","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","预计剩余时间 [分钟]","呈现帧率 (avg) [FPS]","呈现帧率 (99%) [FPS]","呈现帧率 (1%) [FPS]","呈现帧率 (0.1%) [FPS]","呈现帧率 (1% low) [FPS]","呈现帧率 (0.1% low) [FPS]","显示帧率 (avg) [FPS]","显示帧率 (99%) [FPS]","显示帧率 (1%) [FPS]","显示帧率 (0.1%) [FPS]","显示帧率 (1% low) [FPS]","显示帧率 (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","iGPU VID [V]",
17.9.2026,22:44:39.099,5957,33554,15.0,5877,10305,36.3,0.0,23329,0,0.761,0.792,0.757,0.747,0.745,0.681,0.738,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,31.6,143.0,89.9,13.7,2.8,1.2,0.5,0.9,0.5,31.6,3.1,11.8,7.5,0.7,0.1,4.5,0.0,0.0,0.0,11.8,3.1,100.0,1.2,5.1,3.4,0.5,0.1,0.0,0.0,0.0,0.0,1.2,10.0,10.0,10.0,10.0,10.0,8.0,34,31,35,37,35,66,69,65,63,65,39,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,38,38,0.250,1.803,0.174,0.007,4.606,0.755,0.267,0.574,35.0,30.0,64.0,64.0,0,17.5,10.4,2.1,2.1,46.8,3.0,14.0,8.3,0.9,0.3,0.1,0.1,0.1,0.1,94.9,81.3,98.8,99.8,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,35,35,34,97.0,100.0,否,否,24292,21072,0.0,1.5,1.5,0.000,0.057,3862,1502,39,0.006,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,否,否,否,否,否,否,7.482,25.739,62.3,-7.938,25.2,194.6,17.2,19.9,15.2,15.1,15.1,15.1,17.2,19.8,15.1,15.1,15.1,15.1,58.02,65.90,50.15,50.00,66.06,66.06,0.27,57.75,57.70,0.33,8.37,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:41.113,5970,33541,15.1,5881,10302,36.3,0.0,23329,0,0.761,0.792,0.757,0.747,0.745,0.678,0.736,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,153.1,287.6,245.1,226.0,186.1,112.4,82.4,54.9,30.0,153.1,7.9,19.0,16.4,9.1,7.6,4.5,3.5,2.2,1.1,19.0,7.9,100.0,6.1,11.0,9.8,9.2,7.6,4.6,3.4,2.2,1.2,6.1,10.0,10.0,10.0,10.0,10.0,8.0,34,32,34,36,35,66,68,66,64,65,38,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,38,39,0.250,1.681,0.180,0.006,4.262,0.691,0.221,0.537,35.0,30.0,64.0,64.0,0,14.4,7.9,1.3,4.2,34.8,8.6,20.7,16.9,9.9,8.1,5.0,3.9,2.7,1.5,85.4,68.3,85.5,91.3,96.7,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,是,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24292,21072,0.5,3.6,4.1,0.002,0.295,3862,1503,39,0.046,100.0,1066.0,0.2,1.4,0.0,0.0,0.0,0.0,0.0,410,否,否,否,否,否,否,7.445,25.739,62.3,-7.862,25.2,196.4,17.2,19.9,15.2,15.1,15.1,15.1,17.2,19.8,15.1,15.1,15.1,15.1,58.02,65.90,50.15,50.00,66.06,66.06,0.27,57.75,57.70,0.33,8.37,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:43.102,5968,33544,15.1,5883,10300,36.3,0.0,23329,0,0.761,0.792,0.762,0.745,0.745,0.678,0.696,1025.0,1000.0,1100.0,1000.0,1000.0,100.0,800.0,107.1,399.7,260.8,116.6,77.1,1.1,0.2,0.8,0.2,107.1,6.2,22.0,14.9,5.8,3.8,1.4,0.5,0.6,0.5,22.0,6.2,100.0,3.9,14.6,9.9,4.0,2.7,0.0,0.0,0.0,0.0,3.9,10.2,10.0,11.0,10.0,10.0,8.0,36,35,36,38,36,64,65,64,62,64,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40,40,39,1.000,3.149,1.156,0.046,7.042,0.878,0.357,0.720,35.0,30.0,64.0,64.0,0,15.8,4.2,1.3,3.7,37.5,6.6,25.5,16.5,6.4,3.9,0.1,0.0,0.1,0.0,89.5,67.0,91.2,99.8,99.9,1600.0,16.00,22,22,22,52,74,560,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,34,34,34,97.0,100.0,否,否,24292,21072,0.0,3.8,3.8,0.000,0.143,3862,1503,39,0.013,100.0,1599.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,410,否,否,否,否,否,否,7.464,25.732,62.3,-8.113,25.2,190.3,10.9,62.8,2.1,2.0,1.9,1.9,10.9,60.3,2.1,2.0,1.9,1.9,91.66,465.96,15.92,15.84,515.16,515.16,0.32,91.34,91.39,0.27,80.61,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:45.110,5966,33545,15.1,5883,10299,36.3,0.0,23329,0,0.760,0.792,0.757,0.745,0.745,0.678,0.738,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,50.3,190.6,148.6,30.3,7.6,24.9,0.2,0.3,0.2,50.3,3.7,14.9,11.6,0.5,0.7,0.6,0.4,0.4,0.4,14.9,3.7,100.0,1.9,7.0,5.8,1.2,0.3,1.0,0.0,0.0,0.0,1.9,10.0,10.0,10.0,10.0,10.0,8.0,35,34,35,36,36,65,66,65,64,64,39,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40,38,40,0.250,2.472,0.747,0.013,5.876,0.852,0.352,0.504,35.0,30.0,64.0,64.0,0,16.7,12.2,1.5,1.7,42.4,4.0,16.8,12.1,1.9,0.4,1.0,0.0,0.0,0.0,93.5,77.4,97.7,98.9,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,34,34,34,97.0,100.0,否,否,24292,21072,0.0,2.5,2.5,0.000,0.543,3862,1504,39,0.009,100.0,1066.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,410,否,否,否,否,否,否,7.452,25.732,62.3,-8.234,25.2,187.5,11.2,63.7,1.8,1.7,1.7,1.7,11.2,60.4,1.8,1.7,1.7,1.7,89.63,545.61,15.55,15.48,584.15,584.15,0.35,89.28,89.23,0.40,137.69,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:47.108,5950,33562,15.0,5867,10315,36.2,0.0,23329,0,0.761,0.792,0.757,0.747,0.745,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,42.3,153.2,146.9,27.5,5.7,4.1,0.2,0.3,0.2,42.3,3.0,12.0,8.9,3.2,0.0,0.0,0.0,0.0,0.0,12.0,3.0,100.0,1.6,5.5,5.8,1.1,0.2,0.2,0.0,0.0,0.0,1.6,10.0,10.0,10.0,10.0,10.0,8.0,35,34,35,37,35,65,66,65,63,65,38,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38,37,38,0.250,2.027,0.324,0.009,5.101,0.769,0.274,0.627,35.0,30.0,64.0,64.0,0,17.3,10.6,1.7,3.4,44.2,3.4,14.3,9.8,2.0,0.3,0.4,0.0,0.0,0.0,94.3,79.9,97.7,99.5,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,34,34,35,97.0,100.0,否,否,24292,21072,0.0,1.6,1.6,0.000,0.075,3862,1504,38,0.010,100.0,1066.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,410,否,否,否,否,否,否,7.486,25.724,62.3,-8.242,25.2,187.2,11.2,63.7,1.8,1.7,1.7,1.7,11.2,60.4,1.8,1.7,1.7,1.7,89.63,545.61,15.55,15.48,584.15,584.15,0.35,89.28,89.23,0.40,137.69,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:49.121,5967,33544,15.1,5884,10299,36.3,0.0,23329,0,0.764,0.795,0.762,0.750,0.747,0.683,0.736,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,362.7,989.7,641.0,763.9,441.1,45.9,9.5,4.5,6.1,362.7,11.2,29.7,20.0,20.5,14.0,3.0,1.0,0.6,0.7,29.7,11.2,100.0,13.5,36.7,24.6,27.4,17.0,1.8,0.4,0.2,0.2,13.5,11.0,11.0,11.0,11.0,11.0,9.0,36,35,36,38,36,64,65,64,62,64,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,45,45,40,3.750,1.878,0.317,0.010,4.938,0.719,0.239,0.552,35.0,30.0,64.0,64.0,0,8.0,6.1,0.3,2.0,16.6,12.4,33.9,21.9,24.4,14.9,2.7,0.7,0.2,0.3,70.8,38.8,48.1,96.8,99.6,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,34,34,35,97.0,100.0,否,否,24292,21072,0.0,2.4,2.4,0.000,0.051,3862,1505,40,0.109,100.0,1066.0,0.6,3.8,0.0,0.0,0.0,0.0,0.0,423,否,否,否,否,否,否,7.477,25.716,62.3,-8.292,25.2,186.1,38.5,61.8,6.6,5.5,5.4,5.4,38.5,61.0,6.0,5.1,5.0,5.0,26.00,172.48,15.21,14.78,201.97,201.97,0.51,25.49,24.39,1.61,16.75,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:51.141,6009,33503,15.2,5928,10254,36.6,0.0,23329,0,0.765,0.797,0.762,0.750,0.750,0.686,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,126.5,366.6,282.3,180.1,133.7,21.2,10.2,9.6,8.6,126.5,7.1,22.3,16.4,9.2,6.2,1.2,0.7,0.6,0.6,22.3,7.1,100.0,5.0,14.1,11.3,7.1,5.4,0.8,0.4,0.4,0.3,5.0,11.0,11.0,11.0,11.0,11.0,9.0,35,33,36,36,36,65,67,64,64,64,40,36,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,37,39,0.250,7.163,4.758,0.109,13.132,1.190,0.516,0.629,35.0,30.0,64.0,64.0,0,14.6,8.0,0.2,2.0,38.1,7.7,24.6,17.3,10.0,6.5,1.3,0.7,0.7,0.6,88.1,68.5,86.9,98.1,98.8,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,是,否,否,是,否,是,否,否,否,否,否,否,否,是,否,否,否,否,否,是,否,否,否,否,否,否,否,是,否,否,37.0,34,34,35,97.0,100.0,否,否,24292,21072,0.0,3.3,3.3,0.000,0.028,3862,1505,39,0.236,100.0,1066.0,0.8,5.1,0.0,0.0,0.0,0.0,0.0,429,否,否,否,否,否,否,7.390,25.709,62.2,-9.097,25.2,169.6,16.3,60.6,2.0,1.8,1.8,1.8,16.3,60.4,2.0,1.8,1.8,1.8,61.50,502.33,16.54,16.54,566.25,566.25,0.45,61.05,61.20,0.30,84.77,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:53.149,6019,33492,15.2,5936,10247,36.6,0.0,23329,0,0.759,0.795,0.755,0.745,0.742,0.676,0.693,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,137.0,473.1,400.8,111.8,105.8,2.7,0.2,1.6,0.2,137.0,6.1,20.4,16.1,6.7,5.3,0.0,0.0,0.0,0.0,20.4,6.1,100.0,5.1,17.3,15.0,4.3,4.2,0.1,0.0,0.1,0.0,5.1,10.0,10.0,10.0,10.0,10.0,8.0,36,35,38,37,36,64,65,62,63,64,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,53,53,38,6.000,2.853,0.775,0.236,6.611,0.910,0.411,0.563,35.0,30.0,64.0,64.0,0,14.6,5.6,0.6,3.7,38.8,6.6,22.7,17.2,6.6,5.7,0.2,0.0,0.1,0.0,89.6,68.7,90.0,99.7,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,34,34,34,97.0,100.0,否,否,24292,21072,0.0,3.7,3.7,0.000,0.057,3862,1505,40,0.032,100.0,1066.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,441,否,否,否,否,否,否,7.488,25.709,62.2,-9.240,25.2,166.9,7.2,60.6,0.7,0.7,0.7,0.7,7.2,60.3,0.7,0.7,0.7,0.7,139.66,1360.20,14.29,14.02,1532.07,1532.07,0.32,139.37,139.29,0.38,232.42,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:55.154,6018,33493,15.2,5934,10249,36.6,0.0,23329,0,0.764,0.797,0.762,0.750,0.747,0.686,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,140.8,550.4,449.5,94.5,28.9,2.3,0.2,0.7,0.2,140.8,4.8,19.0,14.4,3.2,1.1,0.2,0.0,0.1,0.0,19.0,4.8,100.0,5.1,19.7,16.2,3.4,1.0,0.1,0.0,0.0,0.0,5.1,11.0,11.0,11.0,11.0,11.0,9.0,36,34,35,37,36,64,66,65,63,64,39,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,44,44,40,6.250,2.929,1.175,0.032,6.322,0.855,0.345,0.524,35.0,30.0,64.0,64.0,0,14.8,6.7,0.9,2.0,38.0,5.5,22.3,16.5,3.7,1.2,0.2,0.0,0.1,0.0,88.4,65.2,88.9,99.7,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,34,34,34,97.0,100.0,否,否,24292,21072,0.0,1.9,1.9,0.006,0.018,3862,1505,40,0.017,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441,否,否,否,否,否,否,7.489,25.701,62.2,-9.256,25.2,166.6,7.2,60.6,0.7,0.7,0.7,0.7,7.2,60.3,0.7,0.7,0.7,0.7,139.66,1360.20,14.29,14.02,1532.07,1532.07,0.32,139.37,139.29,0.38,232.42,0,0,0.0,0.0,0,0.000,
17.9.2026,22:44:57.173,5984,33528,15.1,5897,10285,36.4,0.0,23329,0,0.759,0.795,0.752,0.745,0.745,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,55.2,188.8,146.1,68.8,30.7,6.4,0.2,0.3,0.2,55.2,4.1,14.4,11.0,5.1,2.3,0.0,0.0,0.0,0.0,14.4,4.1,100.0,2.1,6.9,5.7,2.6,1.2,0.3,0.0,0.0,0.0,2.1,10.0,10.0,10.0,10.0,10.0,8.0,35,33,36,37,34,65,67,64,63,66,39,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,36,39,0.250,3.380,1.605,0.017,6.734,0.881,0.340,0.518,35.0,30.0,64.0,64.0,0,15.8,13.3,1.2,1.9,39.6,4.8,17.1,12.2,6.0,2.8,0.4,0.0,0.0,0.0,92.3,77.3,92.4,99.5,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,34,34,34,97.0,100.0,否,否,24292,21072,0.0,2.5,2.5,0.000,0.108,3862,1505,40,0.062,100.0,1066.0,0.6,3.4,0.0,0.0,0.0,0.0,0.0,442,否,否,否,否,否,否,7.473,25.693,62.2,-9.364,25.2,164.6,7.2,60.6,0.7,0.7,0.7,0.7,7.2,60.3,0.7,0.7,0.7,0.7,139.66,1360.20,14.29,14.02,1532.07,1532.07,0.32,139.37,139.29,0.38,232.42,0,0,0.0,0.0,0,0.000,
