Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PCH 功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","Gear Mode []","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","预计剩余时间 [分钟]","呈现帧率 (avg) [FPS]","呈现帧率 (99%) [FPS]","呈现帧率 (1%) [FPS]","呈现帧率 (0.1%) [FPS]","呈现帧率 (1% low) [FPS]","呈现帧率 (0.1% low) [FPS]","显示帧率 (avg) [FPS]","显示帧率 (99%) [FPS]","显示帧率 (1%) [FPS]","显示帧率 (0.1%) [FPS]","显示帧率 (1% low) [FPS]","显示帧率 (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","iGPU VID [V]",
17.9.2026,20:51:6.826,5589,33923,14.1,5466,10716,33.7,0.0,23329,0,0.763,0.795,0.760,0.750,0.747,0.683,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,73.7,270.2,212.2,50.9,28.2,11.8,4.7,6.9,4.9,73.7,5.1,18.6,14.6,3.3,2.2,0.0,0.8,0.9,0.8,18.6,5.1,100.0,2.8,9.9,8.3,1.9,1.1,0.4,0.2,0.2,0.2,2.8,11.0,11.0,11.0,11.0,11.0,9.0,36,34,36,38,37,64,66,64,62,63,40,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,38,40,0.250,1.720,0.202,0.011,4.254,0.755,0.291,0.446,35.0,30.0,64.0,64.0,0,16.6,5.8,1.1,2.6,41.6,5.7,21.8,16.0,4.0,1.9,0.9,0.4,0.6,0.4,91.0,71.2,94.9,98.9,99.1,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,33,97.0,100.0,否,否,24291,21071,0.0,3.0,3.0,0.000,0.091,2453,884,40,0.011,100.0,1066.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,390,否,否,否,否,否,否,8.003,38.276,92.7,-8.587,25.2,267.4,27.7,63.3,12.1,11.5,11.4,11.4,27.7,61.0,12.6,12.1,12.0,12.0,36.10,82.63,15.73,15.68,87.31,87.31,0.31,35.79,35.81,0.29,10.90,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:8.841,5599,33913,14.1,5480,10703,33.8,0.0,23329,0,0.762,0.795,0.757,0.750,0.745,0.683,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,186.5,353.6,295.2,334.6,218.8,74.8,69.1,73.6,72.7,186.5,10.3,22.2,19.0,14.9,10.3,3.5,3.0,4.7,4.7,22.2,10.3,100.0,7.5,13.7,11.8,13.6,8.9,3.0,2.8,3.0,3.0,7.5,11.0,11.0,11.0,11.0,11.0,9.0,36,34,38,37,37,64,66,62,63,63,40,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40,38,40,0.250,1.967,0.342,0.016,4.905,0.828,0.352,0.437,35.0,30.0,64.0,64.0,0,12.4,5.9,1.4,4.3,28.1,11.0,23.9,19.6,15.8,11.0,3.9,3.4,5.2,5.1,81.8,64.3,74.7,94.5,93.5,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,35,35,34,97.0,100.0,否,否,24291,21071,1.1,0.2,1.2,0.098,0.157,2453,884,39,0.016,100.0,1066.0,0.4,2.5,0.0,0.0,0.0,0.0,0.0,386,否,否,否,否,否,否,7.966,38.276,92.7,-8.771,25.2,261.8,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,299.53,299.53,299.53,299.53,299.53,299.53,0.57,299.00,299.33,0.20,233.06,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:10.838,5595,33917,14.1,5475,10708,33.8,0.0,23329,0,0.763,0.797,0.757,0.750,0.747,0.683,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,41.3,184.6,126.1,14.7,3.4,0.9,0.2,0.3,0.2,41.3,2.8,11.7,8.6,1.8,0.2,0.0,0.0,0.0,0.0,11.7,2.8,100.0,1.6,7.0,4.9,0.5,0.1,0.0,0.0,0.0,0.0,1.6,11.0,11.0,11.0,11.0,11.0,9.0,37,34,38,38,37,63,66,62,62,63,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40,38,40,0.250,3.455,1.347,0.065,7.830,0.969,0.413,0.682,35.0,30.0,64.0,64.0,0,16.7,9.0,1.6,2.5,49.7,3.1,13.3,9.4,1.3,0.3,0.1,0.0,0.0,0.0,94.8,81.3,98.4,99.8,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,35,35,34,97.0,100.0,否,否,24291,21071,0.0,2.8,2.8,0.000,0.100,2453,884,40,0.065,100.0,1066.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,386,否,否,否,否,否,否,7.979,38.269,92.6,-8.689,25.2,264.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,299.53,299.53,299.53,299.53,299.53,299.53,0.57,299.00,299.33,0.20,233.06,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:12.851,5592,33919,14.1,5472,10711,33.8,0.0,23329,0,0.762,0.795,0.760,0.750,0.745,0.683,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,86.4,376.6,267.4,36.3,8.5,1.7,0.2,0.3,0.2,86.4,5.1,21.1,15.5,1.9,0.8,0.4,0.3,0.3,0.3,21.1,5.1,100.0,3.2,13.8,10.4,1.4,0.3,0.1,0.0,0.0,0.0,3.2,11.0,11.0,11.0,11.0,11.0,9.0,36,33,38,38,36,64,67,62,62,64,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,38,39,0.250,1.696,0.285,0.013,4.154,0.651,0.200,0.490,35.0,30.0,64.0,64.0,0,16.3,10.6,1.2,4.6,30.7,5.7,24.8,17.2,2.7,0.7,0.1,0.0,0.0,0.0,90.6,66.4,96.3,99.8,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24291,21071,0.0,2.1,2.1,0.000,0.539,2453,885,40,0.013,100.0,1066.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,386,否,否,否,否,否,否,7.969,38.261,92.6,-8.670,25.2,264.8,24.9,67.2,14.7,14.7,14.7,14.7,24.9,61.0,14.9,14.9,14.9,14.9,40.22,68.06,14.90,14.89,68.25,68.25,0.30,39.91,39.84,0.38,11.21,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:14.840,5581,33931,14.1,5457,10726,33.7,0.0,23329,0,0.764,0.797,0.762,0.750,0.745,0.683,0.696,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,45.6,190.2,127.4,32.6,5.8,4.7,1.0,2.0,1.0,45.6,3.0,13.0,8.7,2.5,0.1,0.0,0.0,0.0,0.0,13.0,3.0,100.0,1.7,7.2,5.0,1.3,0.2,0.2,0.0,0.1,0.0,1.7,11.0,11.0,11.0,11.0,11.0,9.0,36,32,38,37,36,64,68,62,63,64,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,38,40,0.250,2.456,0.553,0.010,6.172,0.906,0.358,0.615,35.0,30.0,64.0,64.0,0,16.6,13.4,1.8,1.1,45.9,3.4,14.3,9.0,2.3,0.5,0.4,0.1,0.2,0.1,94.5,81.4,97.2,99.6,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24291,21071,0.0,3.0,3.0,0.000,0.114,2453,885,40,0.010,100.0,1066.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,386,否,否,否,否,否,否,7.976,38.261,92.6,-8.606,25.2,266.8,59.9,60.0,59.7,59.7,59.7,59.7,60.0,61.0,59.1,59.1,59.1,59.1,16.65,16.76,16.51,16.50,16.76,16.76,0.30,16.36,16.34,0.30,0.23,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:16.856,5720,33791,14.4,5618,10565,34.7,0.0,23329,0,1.014,1.042,1.075,1.045,0.895,0.943,0.731,3574.9,3799.9,3799.9,3799.9,2900.0,100.0,3499.9,569.2,973.0,807.0,921.6,739.9,419.5,261.9,253.6,176.8,569.2,17.9,31.8,25.7,26.9,21.6,13.1,7.9,9.0,7.6,31.8,17.9,100.0,22.4,38.1,32.5,35.8,29.1,16.5,10.1,10.3,7.3,22.4,35.8,38.0,38.0,38.0,29.0,35.0,58,55,68,59,52,42,45,32,41,48,63,68,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,56,56,43,14.500,1.951,0.321,0.012,4.814,0.719,0.228,0.627,35.0,30.0,64.0,64.0,0,8.8,3.3,0.9,3.8,16.4,18.5,34.6,27.1,29.4,22.0,12.9,7.4,8.2,6.7,66.0,45.5,53.0,80.1,85.4,1600.0,16.00,22,22,22,52,74,560,1,2,是,否,否,否,否,否,否,是,否,否,是,否,是,否,否,否,否,否,否,否,是,否,否,否,否,否,是,否,否,否,否,否,否,否,是,否,否,38.0,35,35,35,97.0,100.0,否,否,24291,21071,0.1,3.8,3.9,0.146,0.134,2454,886,40,0.012,100.0,1066.0,0.5,2.8,0.0,0.0,0.0,0.0,0.0,386,否,否,否,否,否,否,7.916,38.253,92.6,-8.811,25.2,260.5,27.9,66.5,3.7,3.1,3.0,3.0,27.9,60.3,3.7,3.1,3.0,3.0,35.83,272.12,15.04,14.89,333.06,333.06,2.65,33.18,35.05,0.78,30.30,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:18.862,5983,33529,15.1,5831,10352,36.0,0.0,23329,0,0.997,1.020,1.172,0.895,0.900,0.963,0.688,3449.9,3799.9,4199.9,2900.0,2900.0,100.0,3599.9,1250.0,1818.2,1628.6,1864.2,1436.4,1363.0,786.9,696.7,405.8,1250.0,32.2,46.6,40.7,47.5,37.4,36.8,20.1,18.1,10.1,47.5,32.2,100.0,51.0,73.4,66.0,75.5,59.5,56.6,32.4,28.3,16.5,51.0,34.5,38.0,42.0,29.0,29.0,36.0,58,69,68,51,45,42,31,32,49,55,69,69,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,72,72,44,8.250,8.577,5.888,0.237,14.770,1.286,0.681,0.638,35.0,30.0,64.0,64.0,0,0.0,0.0,0.0,0.0,0.0,33.4,48.2,41.8,49.0,37.6,37.5,21.5,19.8,11.6,40.2,15.9,20.9,50.8,73.4,1600.0,16.00,22,22,22,52,74,560,1,2,是,否,否,否,否,否,否,是,否,否,是,否,是,否,否,否,否,否,否,否,是,否,否,否,否,否,是,否,否,否,否,否,否,否,是,否,否,38.0,35,35,34,97.0,100.0,否,否,24291,21071,0.0,3.9,3.9,0.002,0.439,2454,887,44,0.237,100.0,1599.0,2.4,14.5,0.0,0.0,0.0,0.0,0.0,539,否,否,否,否,否,否,7.706,38.253,92.6,-11.166,25.2,205.6,22.5,70.8,2.7,2.5,2.5,2.5,22.5,60.3,2.7,2.5,2.5,2.5,44.44,365.04,13.63,13.26,399.24,399.24,2.28,42.16,44.18,0.26,56.28,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:20.878,5988,33523,15.1,5839,10343,36.0,0.0,23329,0,0.755,0.787,0.750,0.742,0.740,0.673,0.691,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,165.4,578.4,430.3,178.0,105.2,27.3,0.3,3.3,0.3,165.4,5.4,17.8,12.9,6.2,2.2,1.5,0.7,0.8,0.7,17.8,5.4,100.0,6.8,22.8,17.5,8.6,4.3,1.1,0.0,0.1,0.0,6.8,10.0,10.0,10.0,10.0,10.0,8.0,38,35,39,41,38,62,65,61,59,62,41,41,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,42,40,42,0.250,19.275,15.865,0.495,28.474,1.613,0.781,0.668,35.0,30.0,64.0,64.0,0,15.1,11.9,0.1,1.8,39.0,5.4,19.4,13.4,5.8,3.1,0.9,0.0,0.1,0.0,90.9,73.6,91.4,98.9,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40.0,35,35,35,97.0,100.0,否,否,24291,21071,0.5,4.8,5.3,0.024,0.656,2454,888,41,0.495,100.0,1599.0,0.3,1.8,0.0,0.0,0.0,0.0,0.0,523,否,否,否,否,否,否,7.957,38.238,92.6,-12.302,25.2,186.5,20.0,63.2,3.0,2.7,2.7,2.7,20.0,61.1,3.0,2.8,2.7,2.7,50.16,334.05,13.42,13.19,367.67,367.67,0.38,49.79,48.18,1.98,63.22,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:22.874,5968,33543,15.1,5817,10365,35.9,0.0,23329,0,0.870,1.065,0.765,0.902,0.747,0.966,0.736,2300.0,3899.9,1200.0,2900.0,1200.0,100.0,3599.9,120.9,473.1,363.2,93.6,35.4,1.0,0.2,0.4,0.2,120.9,5.1,20.8,15.7,3.3,1.0,0.0,0.0,0.0,0.0,20.8,5.1,100.0,4.4,17.2,13.5,3.4,1.3,0.0,0.0,0.0,0.0,4.4,23.0,39.0,12.0,29.0,12.0,36.0,40,40,40,40,40,60,60,60,60,60,42,40,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,42,40,42,0.250,3.917,2.014,0.055,7.169,0.890,0.320,0.624,35.0,30.0,64.0,64.0,0,14.5,9.6,0.4,2.5,37.2,5.9,24.0,17.6,4.1,1.5,0.1,0.0,0.0,0.0,89.9,67.4,92.3,99.8,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,35,35,34,97.0,100.0,否,否,24291,21071,0.5,4.9,5.4,0.016,0.202,2454,888,42,0.055,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523,否,否,否,否,否,否,7.982,38.231,92.5,-11.805,25.2,194.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2099.69,2099.69,2099.69,2099.69,2099.69,2099.69,0.41,2099.27,2099.51,0.18,2084.91,0,0,0.0,0.0,0,0.000,
17.9.2026,20:51:24.886,5913,33598,14.9,5757,10425,35.5,0.0,23329,0,0.762,0.797,0.757,0.747,0.745,0.688,0.733,1125.0,1200.0,1100.0,1100.0,1100.0,100.0,1000.0,48.1,185.0,155.0,35.7,4.9,2.1,0.8,0.9,0.8,48.1,5.5,14.9,12.9,2.9,0.1,13.4,0.0,0.0,0.0,14.9,5.5,100.0,1.8,6.9,6.1,1.4,0.2,0.1,0.0,0.0,0.0,1.8,11.2,12.0,11.0,11.0,11.0,10.0,38,36,38,39,38,62,64,62,61,62,40,39,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,41,39,41,0.250,3.033,1.169,0.020,6.369,0.882,0.334,0.611,35.0,30.0,64.0,64.0,0,16.2,8.6,1.4,3.8,43.3,4.1,16.3,13.3,2.5,0.4,0.2,0.1,0.1,0.1,93.2,76.0,97.3,99.7,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,38.0,35,35,35,97.0,100.0,否,否,24291,21071,0.0,1.2,1.2,0.000,0.105,2454,888,41,0.020,100.0,1066.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,511,否,否,否,否,否,否,7.997,38.231,92.5,-11.564,25.2,198.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2099.69,2099.69,2099.69,2099.69,2099.69,2099.69,0.41,2099.27,2099.51,0.18,2084.91,0,0,0.0,0.0,0,0.000,
