Date,Time,"提交虚拟内存 [MB]","可用虚拟内存 [MB]","虚拟内存使用率 [%]","已用物理内存 [MB]","可用物理内存 [MB]","物理内存使用率 [%]","分页文件使用率 [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Uncore VID [V]","SA VID [V]","核心频率 (avg) [MHz]","Core 0 频率 [MHz]","Core 1 频率 [MHz]","Core 2 频率 [MHz]","Core 3 频率 [MHz]","总线频率 [MHz]","Ring/LLC 频率 [MHz]","核心有效频率 (avg) [MHz]","Core 0 T0 有效频率 [MHz]","Core 0 T1 有效频率 [MHz]","Core 1 T0 有效频率 [MHz]","Core 1 T1 有效频率 [MHz]","Core 2 T0 有效频率 [MHz]","Core 2 T1 有效频率 [MHz]","Core 3 T0 有效频率 [MHz]","Core 3 T1 有效频率 [MHz]","平均有效频率 [MHz]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","最大CPU/线程使用率 [%]","CPU 总使用率 [%]","按需频率调制 [%]","核心使用率 (avg) [%]","Core 0 T0 使用率 [%]","Core 0 T1 使用率 [%]","Core 1 T0 使用率 [%]","Core 1 T1 使用率 [%]","Core 2 T0 使用率 [%]","Core 2 T1 使用率 [%]","Core 3 T0 使用率 [%]","Core 3 T1 使用率 [%]","CPU 总使用率 [%]","核心倍频 (avg) [x]","Core 0 倍频 [x]","Core 1 倍频 [x]","Core 2 倍频 [x]","Core 3 倍频 [x]","Uncore 倍频 [x]","核心温度 (avg) [℃]","Core 0 [℃]","Core 1 [℃]","Core 2 [℃]","Core 3 [℃]","核心温度与 TjMAX 的差值 (avg) [℃]","Core 0 与 TjMAX 的差值 [℃]","Core 1 与 TjMAX 的差值 [℃]","Core 2 与 TjMAX 的差值 [℃]","Core 3 与 TjMAX 的差值 [℃]","CPU 封装 [℃]","核心最大值 [℃]","核心过热降频 (avg) [Yes/No]","Core 0 过热降频 [Yes/No]","Core 1 过热降频 [Yes/No]","Core 2 过热降频 [Yes/No]","Core 3 过热降频 [Yes/No]","核心临界温度 (avg) [Yes/No]","Core 0 临界温度 [Yes/No]","Core 1 临界温度 [Yes/No]","Core 2 临界温度 [Yes/No]","Core 3 临界温度 [Yes/No]","超出核心功率限制 (avg) [Yes/No]","Core 0 超出功率限制 [Yes/No]","Core 1 超出功率限制 [Yes/No]","Core 2 超出功率限制 [Yes/No]","Core 3 超出功率限制 [Yes/No]","封装/环形总线过热降频 [Yes/No]","封装/环形总线临界温度 [Yes/No]","超出封装/环形总线功率限制 [Yes/No]","CPU 封装 [℃]","CPU IA 核心 [℃]","CPU GT 核心 (核显) [℃]","VR VCC 电流 (SVID IOUT) [A]","CPU 封装功率 [W]","IA 核心功率 [W]","GT 核心功率 [W]","系统总功率 [W]","System Agent 功率 [W]","剩余芯片功率 [W]","PCH 功率 [W]","PL1 功率限制 (静态) [W]","PL1 功率限制 (动态) [W]","PL2 功率限制 (静态) [W]","PL2 功率限制 (动态) [W]","当前 cTDP 级别 []","Package C2 驻留率 [%]","Package C3 驻留率 [%]","Package C6 驻留率 [%]","Package C7 驻留率 [%]","Package C8 驻留率 [%]","Core C0 驻留率 (avg) [%]","Core 0 T0 C0 驻留率 [%]","Core 0 T1 C0 驻留率 [%]","Core 1 T0 C0 驻留率 [%]","Core 1 T1 C0 驻留率 [%]","Core 2 T0 C0 驻留率 [%]","Core 2 T1 C0 驻留率 [%]","Core 3 T0 C0 驻留率 [%]","Core 3 T1 C0 驻留率 [%]","Core C7 驻留率 (avg) [%]","Core 0 C7 驻留率 [%]","Core 1 C7 驻留率 [%]","Core 2 C7 驻留率 [%]","Core 3 C7 驻留率 [%]","内存频率 [MHz]","内存倍频 [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","Gear Mode []","IA Limit Reasons (avg) [Yes/No]","IA: PROCHOT [Yes/No]","IA: 过热事件 [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: 运行平均过热限制 (RATL) [Yes/No]","IA: VR 过热警报 [Yes/No]","IA: VR TDC [Yes/No]","IA: 电气设计点/其他 (ICCmax、PL4、SVID、DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: 睿频衰减 (MCT) [Yes/No]","GT Limit Reasons (avg) [Yes/No]","GT: PROCHOT [Yes/No]","GT: 过热事件 [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: 运行平均过热限制 (RATL) [Yes/No]","GT: VR 过热警报 [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage  ICCmax  PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: 熔断限制 [Yes/No]","Ring Limit Reasons (avg) [Yes/No]","RING: PROCHOT [Yes/No]","RING: 过热事件 [Yes/No]","RING: DDR RAPL [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: 运行平均过热限制 (RATL) [Yes/No]","RING: VR 过热警报 [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage  ICCmax  PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2 PL3 [Yes/No]","PCH 温度 [℃]","磁盘温度 [℃]","磁盘温度 2 [℃]","磁盘温度 3 [℃]","磁盘剩余寿命 [%]","磁盘可用备用 [%]","磁盘故障 [Yes/No]","磁盘警告 [Yes/No]","主机写入总计 [GB]","主机读取总计 [GB]","读取活动率 [%]","写入活动率 [%]","总活动率 [%]","读取速度 [MB/s]","写入速度 [MB/s]","读取总计 [MB]","写入总计 [MB]","GPU Core 温度 [℃]","IGPU 功率 [W]","GPU 频率 [MHz]","显存频率 [MHz]","GPU D3D 使用率 (avg) [%]","GPU D3D 使用率 [%]","GPU Video Decode 0 使用率 [%]","GPU Video Decode 1 使用率 [%]","GPU Video Processing 0 使用率 [%]","GPU Video Processing 1 使用率 [%]","GPU 复制引擎使用率 [%]","GPU D3D 共享显存 [MB]","GPU 性能下降原因 (avg) [Yes/No]","功率 [Yes/No]","电压 Limit [Yes/No]","Current (PL4) [Yes/No]","过热 [Yes/No]","使用率 [Yes/No]","电池电压 [V]","剩余容量 [Wh]","电池电量 [%]","充电速度 [W]","损耗程度 [%]","预计剩余时间 [分钟]","呈现帧率 (avg) [FPS]","呈现帧率 (99%) [FPS]","呈现帧率 (1%) [FPS]","呈现帧率 (0.1%) [FPS]","呈现帧率 (1% low) [FPS]","呈现帧率 (0.1% low) [FPS]","显示帧率 (avg) [FPS]","显示帧率 (99%) [FPS]","显示帧率 (1%) [FPS]","显示帧率 (0.1%) [FPS]","显示帧率 (1% low) [FPS]","显示帧率 (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","下载总计 [MB]","上传总计 [MB]","当前下载速度 [KB/s]","当前上传速度 [KB/s]","错误总数 []","iGPU VID [V]",
17.9.2026,23:9:37.183,6070,33441,15.3,5821,10361,35.9,0.0,23329,0,0.764,0.797,0.762,0.747,0.747,0.686,0.698,1050.0,1100.0,1100.0,1000.0,1000.0,100.0,900.0,33.6,140.9,90.6,27.8,4.8,2.6,0.7,1.5,0.2,33.6,2.9,11.2,7.4,2.2,0.1,2.3,0.0,0.0,0.0,11.2,2.9,100.0,1.2,5.0,3.5,1.1,0.2,0.1,0.0,0.1,0.0,1.2,10.5,11.0,11.0,10.0,10.0,9.0,35,32,36,37,34,65,68,64,63,66,38,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,36,39,0.250,1.533,0.153,0.008,3.758,0.671,0.245,0.427,35.0,30.0,64.0,64.0,0,17.1,6.4,0.6,2.4,52.3,3.2,13.5,8.4,2.6,0.5,0.3,0.1,0.2,0.0,94.6,82.0,97.1,99.7,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,35,35,33,97.0,100.0,否,否,24293,21074,0.0,1.0,1.0,0.000,0.016,5718,2079,38,0.006,100.0,1066.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,476,否,否,否,否,否,否,7.437,21.797,52.8,-7.846,25.2,166.7,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,516.43,516.43,516.43,516.43,516.43,516.43,0.29,516.14,516.10,0.33,400.11,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:39.163,6088,33423,15.4,5838,10345,36.0,0.0,23329,0,0.763,0.797,0.760,0.750,0.745,0.691,0.696,1125.0,1200.0,1100.0,1100.0,1100.0,100.0,1000.0,193.4,425.9,323.0,171.4,177.4,132.0,136.2,93.1,88.2,193.4,9.0,23.8,17.6,7.7,6.0,6.3,5.6,2.6,2.5,23.8,9.0,100.0,7.7,16.1,12.7,6.8,7.2,5.4,5.6,3.7,3.6,7.6,11.2,12.0,11.0,11.0,11.0,10.0,37,34,38,39,38,63,66,62,61,62,39,39,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,39,38,0.250,3.425,1.410,0.042,7.451,0.958,0.439,0.619,35.0,30.0,64.0,64.0,0,14.7,7.4,0.6,3.8,31.7,10.0,26.8,18.8,8.2,7.0,5.8,6.5,3.6,3.4,83.4,63.4,86.9,88.5,94.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,2.9,2.9,0.000,0.047,5718,2079,39,0.008,100.0,1066.0,0.2,1.5,0.0,0.0,0.0,0.0,0.0,484,否,否,否,否,否,否,7.403,21.789,52.7,-7.773,25.2,168.2,27.8,62.7,4.3,3.6,3.5,3.5,27.8,60.2,4.3,3.6,3.5,3.5,36.00,231.53,10.34,8.73,283.58,283.58,1.04,32.83,35.33,0.67,26.78,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:41.158,6083,33428,15.3,5839,10343,36.0,0.0,23329,0,0.759,0.792,0.752,0.745,0.745,0.676,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,196.4,642.4,433.7,299.9,188.8,5.9,0.2,0.4,0.2,196.4,9.9,29.6,20.4,12.4,9.2,0.9,2.1,2.1,2.1,29.6,9.9,100.0,7.5,24.5,17.0,11.3,7.3,0.2,0.0,0.0,0.0,7.5,10.0,10.0,10.0,10.0,10.0,8.0,36,35,36,37,36,64,65,64,63,64,39,37,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,48,48,40,9.250,3.862,1.951,0.034,7.976,1.011,0.459,0.447,35.0,30.0,64.0,64.0,0,12.9,5.4,1.1,3.6,26.2,9.5,32.5,21.3,13.7,8.0,0.4,0.0,0.0,0.0,84.3,57.3,80.5,99.5,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,3.0,3.0,0.000,0.124,5718,2079,39,0.042,100.0,1066.0,0.3,2.1,0.0,0.0,0.0,0.0,0.0,472,否,否,否,否,否,否,7.416,21.782,52.7,-8.106,25.2,161.2,37.8,62.4,14.9,14.9,14.9,14.9,37.8,60.9,15.0,15.0,15.0,15.0,26.49,67.00,15.79,15.70,67.24,67.24,0.32,26.17,26.21,0.28,4.36,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:43.148,6086,33425,15.4,5837,10346,36.0,0.0,23329,0,0.769,0.805,0.765,0.760,0.747,0.688,0.733,1300.0,1400.0,1200.0,1400.0,1200.0,100.0,1000.0,394.3,1201.3,820.5,691.3,400.3,28.7,6.6,5.1,0.3,394.3,10.2,32.4,22.8,17.4,9.1,0.0,0.0,0.0,0.0,32.4,10.2,100.0,14.6,44.5,30.8,25.0,14.9,1.1,0.3,0.2,0.0,14.6,13.0,14.0,12.0,14.0,12.0,10.0,40,39,40,42,38,60,61,60,58,62,41,42,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,52,52,41,8.750,7.920,5.470,0.105,13.828,1.204,0.540,0.656,35.0,30.0,64.0,64.0,0,8.2,7.0,0.4,1.9,16.2,12.0,36.7,25.3,20.2,11.9,1.4,0.4,0.2,0.0,72.6,37.0,55.7,98.1,99.7,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,5.9,5.9,0.000,0.661,5718,2081,41,0.034,100.0,1066.0,0.5,3.2,0.0,0.0,0.0,0.0,0.0,477,否,否,否,否,否,否,7.163,21.774,52.7,-8.524,25.2,153.2,43.9,61.8,6.1,4.1,4.0,4.0,43.8,60.3,6.1,4.1,4.0,4.0,22.78,163.97,16.08,16.06,250.22,250.22,0.80,21.99,22.55,0.23,12.44,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:45.164,6118,33394,15.4,5872,10311,36.2,0.0,23329,0,0.767,0.797,0.767,0.752,0.750,0.688,0.696,1200.0,1200.0,1200.0,1200.0,1200.0,100.0,1000.0,352.2,1062.1,745.8,538.4,339.4,88.0,24.2,13.6,5.9,352.2,11.3,32.3,22.5,17.2,12.5,4.5,0.8,0.0,0.2,32.3,11.3,100.0,13.0,39.2,27.7,19.5,12.9,3.2,0.9,0.5,0.2,13.0,12.0,12.0,12.0,12.0,12.0,10.0,38,37,39,38,37,62,63,61,62,63,40,39,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,39,40,0.250,6.574,4.116,0.225,11.466,1.229,0.604,0.495,35.0,30.0,64.0,64.0,0,10.2,3.1,0.4,5.1,16.6,12.8,36.8,25.3,19.9,13.1,4.5,1.1,1.1,0.5,73.3,41.9,60.9,91.6,98.7,1066.7,10.67,15,15,15,35,74,374,1,2,是,否,否,否,否,否,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,4.3,4.3,0.000,0.110,5718,2081,40,0.105,100.0,1066.0,1.4,8.4,0.0,0.0,0.0,0.0,0.0,478,否,否,否,否,否,否,7.277,21.774,52.7,-9.642,25.2,135.5,60.0,60.4,59.5,59.5,59.5,59.5,60.0,60.0,60.0,60.0,60.0,60.0,16.66,16.80,16.52,16.51,16.80,16.80,0.34,16.33,16.55,0.11,0.08,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:47.165,6119,33392,15.4,5874,10308,36.3,0.0,23329,0,0.758,0.792,0.752,0.745,0.742,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,56.3,211.3,162.8,44.0,24.1,6.9,0.2,1.0,0.2,56.3,4.7,16.7,13.4,3.9,1.6,0.0,0.0,2.0,0.0,16.7,4.7,100.0,2.1,7.8,6.4,1.6,0.9,0.3,0.0,0.0,0.0,2.1,10.0,10.0,10.0,10.0,10.0,8.0,36,35,38,37,36,64,65,62,63,64,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40,38,40,0.250,1.973,0.248,0.069,4.325,0.809,0.320,0.525,35.0,30.0,64.0,64.0,0,16.2,9.3,1.7,2.1,41.7,5.0,18.7,14.0,4.0,2.2,0.7,0.0,0.1,0.0,92.2,74.7,94.9,99.2,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,2.8,2.8,0.000,0.022,5718,2081,40,0.225,100.0,1066.0,0.5,3.3,0.0,0.0,0.0,0.0,0.0,479,否,否,否,否,否,否,7.400,21.759,52.7,-9.716,25.2,134.4,60.9,61.8,60.1,60.1,60.1,60.1,60.5,61.1,60.0,60.0,60.0,60.0,16.33,16.57,16.09,16.09,16.58,16.58,1.86,13.89,16.06,0.27,0.23,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:49.170,6119,33392,15.4,5873,10310,36.2,0.0,23329,0,0.759,0.792,0.755,0.745,0.745,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,33.0,146.8,89.5,22.9,2.4,1.1,0.8,0.4,0.2,33.0,3.0,11.9,7.5,1.7,0.1,3.1,0.0,0.0,0.0,11.9,3.0,100.0,1.2,5.3,3.4,0.9,0.1,0.0,0.0,0.0,0.0,1.2,10.0,10.0,10.0,10.0,10.0,8.0,36,34,36,38,36,64,66,64,62,64,40,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,38,39,0.250,1.688,0.174,0.005,3.352,0.725,0.246,0.504,35.0,30.0,64.0,64.0,0,17.8,9.3,1.6,2.7,47.5,3.1,14.0,8.3,1.9,0.2,0.1,0.1,0.1,0.0,94.8,81.6,97.8,99.8,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,2.5,2.5,0.000,0.071,5718,2081,38,0.069,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,否,否,否,否,否,否,7.417,21.759,52.7,-9.308,25.2,140.2,60.9,61.8,60.1,60.1,60.1,60.1,60.5,61.1,60.0,60.0,60.0,60.0,16.33,16.57,16.09,16.09,16.58,16.58,1.86,13.89,16.06,0.27,0.23,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:51.169,6074,33438,15.3,5826,10357,36.0,0.0,23329,0,0.762,0.795,0.757,0.750,0.747,0.683,0.693,1100.0,1100.0,1100.0,1100.0,1100.0,100.0,900.0,32.8,138.1,83.5,34.1,2.3,2.3,0.3,1.5,0.2,32.8,2.9,10.9,6.6,1.6,0.0,2.8,0.4,0.0,0.4,10.9,2.9,100.0,1.2,4.9,3.1,1.4,0.1,0.1,0.0,0.1,0.0,1.2,11.0,11.0,11.0,11.0,11.0,9.0,35,32,38,36,35,65,68,62,64,65,39,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,36,39,0.250,1.681,0.200,0.007,3.167,0.704,0.235,0.494,35.0,30.0,64.0,64.0,0,18.0,9.0,1.5,2.9,47.9,3.0,13.4,7.7,2.2,0.2,0.2,0.0,0.1,0.0,94.8,82.2,97.6,99.7,99.8,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,2.4,2.4,0.000,0.020,5718,2081,39,0.005,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,否,否,否,否,否,否,7.429,21.751,52.7,-8.848,25.2,147.5,60.9,61.8,60.1,60.1,60.1,60.1,60.5,61.1,60.0,60.0,60.0,60.0,16.33,16.57,16.09,16.09,16.58,16.58,1.86,13.89,16.06,0.27,0.23,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:53.174,6074,33438,15.3,5824,10359,35.9,0.0,23329,0,0.759,0.792,0.752,0.745,0.745,0.678,0.693,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,32.1,131.7,96.5,22.4,4.4,1.1,0.2,0.5,0.2,32.1,2.6,10.5,7.7,1.5,0.9,0.0,0.0,0.5,0.0,10.5,2.6,100.0,1.2,4.7,3.7,0.9,0.2,0.0,0.0,0.0,0.0,1.2,10.0,10.0,10.0,10.0,10.0,8.0,36,35,38,37,35,64,65,62,63,65,38,38,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,40,36,39,0.250,1.647,0.162,0.007,3.146,0.707,0.236,0.498,35.0,30.0,64.0,64.0,0,17.7,9.0,1.7,2.4,48.0,3.0,12.7,8.7,1.9,0.4,0.1,0.0,0.1,0.0,94.8,81.8,97.6,99.8,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,37.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,2.0,2.0,0.000,0.049,5718,2081,40,0.007,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,否,否,否,否,否,否,7.468,21.751,52.7,-8.484,25.2,153.8,60.9,61.8,60.1,60.1,60.1,60.1,60.5,61.1,60.0,60.0,60.0,60.0,16.33,16.57,16.09,16.09,16.58,16.58,1.86,13.89,16.06,0.27,0.23,0,0,0.0,0.0,0,0.000,
17.9.2026,23:9:55.182,6073,33438,15.3,5828,10354,36.0,0.0,23329,0,0.759,0.795,0.752,0.745,0.745,0.678,0.696,1000.0,1000.0,1000.0,1000.0,1000.0,100.0,800.0,36.7,145.7,99.3,34.7,10.3,2.4,0.2,0.7,0.2,36.7,3.3,11.8,8.1,2.9,1.2,0.0,1.2,0.0,1.2,11.8,3.3,100.0,1.4,5.2,3.8,1.4,0.4,0.1,0.0,0.0,0.0,1.4,10.0,10.0,10.0,10.0,10.0,8.0,36,34,39,37,36,64,66,61,63,64,40,39,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,39,37,39,0.250,1.640,0.195,0.006,3.024,0.708,0.251,0.451,35.0,30.0,64.0,64.0,0,17.4,7.3,1.5,2.6,49.6,3.2,13.4,8.5,2.8,1.0,0.2,0.0,0.1,0.0,94.4,81.9,96.3,99.7,99.9,1066.7,10.67,15,15,15,35,74,374,1,2,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,36.0,35,35,34,97.0,100.0,否,否,24293,21074,0.0,1.9,1.9,0.000,0.028,5718,2081,38,0.007,100.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479,否,否,否,否,否,否,7.461,21.751,52.7,-8.110,25.2,160.9,60.9,61.8,60.1,60.1,60.1,60.1,60.5,61.1,60.0,60.0,60.0,60.0,16.33,16.57,16.09,16.09,16.58,16.58,1.86,13.89,16.06,0.27,0.23,0,0,0.0,0.0,0,0.000,
